,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
177,명군이 되어보세!,판타지,슈타인호프,995.7만,전체 1.7만,"전체 2,141",18.10.01,24.06.26,9.5
178,1592 모두가 꿈꾼 제국,판타지,저스티츠,84.4만,전체 866,전체 404,23.08.17,24.06.26,9.9
179,소드마스터의 환생,판타지,파란영,684.2만,"전체 3,056",전체 206,19.03.22,19.03.22,9.8
180,천재 올 마스터의 귀환,판타지,천화s,997.7만,"전체 3,007",전체 315,22.10.05,24.06.24,9.1
181,19금,판타지,19금,19금,19금,19금,19금,19금,19금
182,회귀한 엑스트라가 천재가 됨,판타지,텍골,"4,011.3만",전체 3.7만,전체 536,20.09.16,22.08.08,9.8
183,유성검가의 망나니로 살아남는 법,판타지,Equipment,202.3만,전체 896,전체 175,24.03.20,24.06.26,9.2
184,역대급 - 역대+급 플레이어,판타지,양강,"2,053.7만","전체 9,443",전체 376,16.09.02,17.05.26,9.2
185,소설 속 네크로맨서는 뼈를 줍는다,판타지,그루밤,335.7만,"전체 2,543",전체 241,23.08.23,24.06.25,9.5
186,회귀한 흑마도사는 신성 천재,판타지,낼쉬드,75.9만,"전체 1,041",전체 175,24.02.14,24.06.26,9.7
187,해골만 소환해도 너무 강함,판타지,지타,359만,"전체 2,027",전체 374,23.09.15,24.06.26,9.0
188,아포칼립스의 귀환기사,판타지,킹메이커,315.3만,"전체 2,951",전체 267,23.05.15,24.06.25,9.5
189,0.0000001%의 마왕님,판타지,파란영,"1,139.5만",전체 1.3만,전체 221,19.03.01,20.02.27,9.9
190,로그인 사이코패스,판타지,XxEx,65.6만,전체 958,전체 249,23.10.16,24.06.26,9.4
191,전직 랭커의 뉴비 생활,판타지,킹세바,354.7만,"전체 3,185",전체 494,22.11.11,24.06.18,9.7
192,"1941, 작전명 : 열도 침몰",판타지,선우선사,54.4만,전체 191,전체 350,23.08.04,24.04.26,9.5
193,아포칼립스에서 세이브 포인트가 생겼습니다,판타지,만두대장,60.5만,전체 261,전체 140,24.05.08,24.06.26,8.1
194,책 먹는 마법사,판타지,메켄로,"3,931.1만",전체 2만,전체 427,18.09.12,18.10.22,9.8
195,짐꾼이었던 내가 마력이 무한?,판타지,1인5역,136.5만,전체 453,전체 206,23.07.21,23.10.12,9.0
196,판타지 속 천재 기사로 살아가는 법,판타지,절필방지,"5,475",전체 0,전체 138,24.06.26,24.06.26,8.0
197,서브 남주가 파업하면 생기는 일 [연재],판타지,숙임,620만,전체 2만,전체 920,21.01.15,24.06.26,10.0
198,주인공이 컨셉충이면 곤란한가요,판타지,해인설,"1,689.6만",전체 4.6만,전체 539,22.03.15,24.02.01,9.9
199,절대좌의 귀환,판타지,박민규,93.5만,전체 197,전체 225,23.12.01,23.12.01,8.3
200,신성모독의 외신 사제가 되었다,판타지,에온바드,"6,693",전체 55,전체 91,24.06.25,24.06.26,10.0
201,천재 플레이어가 되었다,판타지,제네럴K,342.3만,"전체 3,782",전체 227,21.07.02,22.02.22,9.8
202,혼자 레벨업 합니다,판타지,신필,"4,046.5만",전체 2만,전체 589,16.11.11,18.04.23,8.8
203,갑질하는 영주님,판타지,장대수,"6,875.2만",전체 5.5만,"전체 1,075",18.09.21,22.05.10,9.8
204,1RM의 기간트 라이더,판타지,오늘도요,"2,653.5만",전체 2.5만,전체 292,20.12.28,21.09.06,9.5
205,환생 후 천하제일인이 되어 귀환했다,판타지,쏭범,549만,"전체 2,207",전체 228,22.10.04,23.03.20,9.5
206,차원여행자는 미궁의 주인이 되었습니다,판타지,고서귀,108.1만,전체 618,전체 250,23.04.29,23.10.17,9.1
207,마법학교 천재의 환상은 현실이 된다,판타지,자은,57.6만,전체 470,전체 165,24.03.18,24.06.26,9.6
208,악당은 살고 싶다,판타지,지갑송,"1,336.9만",전체 1.5만,전체 362,21.04.06,22.06.17,9.8
209,쏘지 마라 아군이다!,판타지,토이카,"1,605.1만",전체 1.3만,전체 301,18.06.11,18.11.19,9.9
210,삼국지 : 슬기로운 병영 생활,판타지,조작가R,60.3만,전체 748,전체 336,23.06.08,23.08.24,9.9
