,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
38,버려진 딸은 조용히 살지 않습니다 [선공개],로판,마곰치,(2024.05.17.),(2024.05.17.),142,109,18,9.4
39,A.I. 닥터 [독점],현판,한산이가,(2020.04.29.),(2024.06.24.),1534,"54,024","1,192",9.8
40,천화서고 대공자 [독점],무협,김현영,(2020.09.23.),(2024.05.15.),527,"18,206",330,9.7
41,불온한 집착 [선공개],로맨스,임여리,(2024.05.17.),(2024.05.17.),75,"1,308",5,9.5
42,결혼의 소실점 [선공개],로맨스,채스카,(2024.05.10.),(2024.05.10.),60,18,좋아요,9.0
43,전생혈마 [독점],현판,산천,(2024.01.02.),(2024.06.24.),198,"1,186",5,8.8
44,회귀자 생활백서(回歸者 生活白書),무협,넉울히,(2024.05.23.),(2024.06.24.),158,"1,524",12,9.2
45,시한부 천재가 살아남는 법,무협,청시소,(2021.02.10.),(2024.06.21.),725,"58,721",429,9.6
46,나노 마신(喇勞 魔神),무협,한중월야,(2017.09.18.),(2018.05.17.),342,"34,223","2,425",9.3
47,끝이 정해진 사이 [선공개],로맨스,은율아,(2024.05.10.),(2024.05.10.),93,164,9,9.8
48,손짓에 홀려 [선공개],로맨스,초연희,(2024.05.03.),(2024.05.03.),70,207,16,9.4
49,천재 흑마법사,판타지,노란커피,(2021.09.07.),(2024.04.01.),786,"36,398",257,9.9
50,몰락 끝에 네가 있다 [독점],로판,유세라,(2023.06.15.),(2023.10.22.),188,"5,119",93,9.8
51,침묵의 여름 (Träumerei) [선공개],로맨스,다하루,(2024.05.17.),(2024.05.17.),152,33,11,9.9
52,첩자의 마교생활 [독점],무협,대은호,(2023.06.27.),(2024.06.24.),371,"4,156",53,9.5
53,탑아이돌의 막내 멤버가 되었다 [독점],현판,강서울,(2023.02.28.),(2024.06.23.),405,"10,037",280,9.9
54,전무님은 하룻밤이 부족하다 [독점],로맨스,한여름이었다,(2024.04.26.),(2024.04.26.),94,246,6,9.7
55,현질로 S급 소드마스터,판타지,놋버,(2024.05.03.),(2024.06.24.),147,266,3,7.8
56,못 잡아먹어서 안달 [독점],로맨스,플아다,(2022.10.20.),(2023.11.29.),157,"7,784",639,9.9
57,완전무결한 공작님께 [독점],로판,이현성,(2024.01.25.),(2024.05.20.),198,"1,643",38,9.8
58,블랙기업조선,판타지,국뽕,(2020.03.20.),(2024.06.24.),1206,"34,737",202,9.6
59,죽은 신의 성기사 [독점],판타지,초매,(2023.05.30.),(2024.06.24.),469,"12,501",157,9.8
60,전리품 공작부인 [독점],로판,레몬개구리,(2023.11.29.),(2024.04.01.),184,"4,613",63,9.6
61,히어로가 돌아왔다 [독점],현판,쾌벌,(2024.04.02.),(2024.06.24.),137,871,32,9.1
62,이 결혼의 끝은 죽음이었다 [선공개],로판,시샘달,(2024.05.03.),(2024.05.03.),120,49,1,6.9
63,탐닉의 조건 [선공개],로맨스,문희,(2024.05.17.),(2024.05.17.),82,106,3,9.6
64,딸기밭 [선공개],로맨스,김무이,(2024.05.03.),(2024.05.03.),83,141,14,9.7
65,절대 검감(絶對 劍感) [외전포함],무협,한중월야,(2019.06.19.),(2020.05.12.),356,"23,494",417,9.4
66,숨구멍 [독점][에필로그 선공개],로맨스,오드리,(2024.05.21.),(2024.06.15.),82,"1,872",7,9.4
67,악녀의 시집살이는 즐겁다 [독점],로판,준예,(2023.05.30.),(2023.11.14.),191,"3,662",87,9.7
68,여름이었다 [선공개],로맨스,양지희,(2024.05.24.),(2024.05.24.),90,43,6,9.8
69,약먹는 천재마법사,판타지,글근육,(2021.02.12.),(2024.06.22.),1143,"27,537",185,9.9
70,검은 머리 영국 의사 [독점],판타지,한산이가,(2022.10.26.),(2024.06.24.),528,"17,215",249,9.9
71,현질무신 [독점],무협,시저디,(2024.01.23.),(2024.06.24.),213,"1,913",20,9.0
72,나랑 자게 될 거야 [독점],로맨스,차가울(미캉),(2024.03.14.),(2024.04.15.),88,"1,403",24,9.6
73,괴물 황녀는 진실을 원한다 [선공개],로판,송이담,(2024.05.24.),(2024.06.24.),117,32,22,9.3
74,남자친구 김춘성 [선공개],로맨스,휘린,(2024.05.24.),(2024.05.24.),86,15,5,9.5
75,마왕의 시녀 [선공개],로판,팔마,(2024.05.17.),(2024.06.24.),147,34,11,9.5
76,유혹은 교만하게 [선공개],로맨스,문유하,(2024.05.03.),(2024.05.03.),75,82,6,9.7
77,악당 가족이 독립을 반대한다 [독점],로판,이흰,(2022.07.03.),(2024.04.23.),292,"3,402",321,9.9
78,검술 명가의 대마법사 막내딸 [독점],로판,윤하월,(2023.01.30.),(2023.10.02.),214,"1,164",44,9.8
79,훔친 용이지만 반품될까요 [선공개],로판,Onmi,(2024.05.03.),(2024.05.03.),100,15,5,8.6
80,"오직, 그대 [선공개]",로맨스,감나라,(2024.05.24.),(2024.05.24.),61,6,좋아요,9.5
