,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
26,시그리드,로판,시야,(2022.06.07.),(2022.06.07.),163,674,12,9.6
27,던전을 그리는 화가 [독점],현판,취미글주의,(2024.01.16.),(2024.06.24.),210,"10,895",62,9.9
28,차라리 빌런으로 살겠다,현판,서인하,(2024.06.20.),(2024.06.25.),127,469,9,9.6
29,스무 살의 신부 [독점],로맨스,아슈크림,(2023.04.05.),(2024.03.25.),104,"3,332",26,9.7
30,아포칼립스에 집을 숨김,현판,로드워리어,(2023.04.17.),(2024.06.24.),466,"28,356",238,9.5
31,재벌집 만렙 아들,현판,오소록,(2023.02.03.),(2024.06.24.),436,"7,426",70,9.6
32,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,(2023.10.07.),(2024.06.25.),430,"1,617",83,9.3
33,전직용병 재벌서자 [독점],현판,꾼밤,(2023.10.24.),(2024.06.25.),285,"2,153",28,9.1
34,광룡이계전생 [독점],판타지,시준,(2023.02.14.),(2024.06.25.),472,"4,084",19,8.8
35,회귀수선전(回歸修仙傳),무협,엄청난,(2023.06.05.),(2024.06.24.),513,"50,090",348,9.6
36,파티에서 추방된 영웅이 너무 뛰어남 [독점],현판,블루클리프,(2022.05.04.),(2023.08.04.),416,"4,712",30,8.7
37,회귀자 생활백서(回歸者 生活白書),무협,넉울히,(2024.05.23.),(2024.06.24.),158,"1,541",12,9.2
38,사이코 [독점],로맨스,문정민,(2024.06.12.),(2024.06.12.),74,98,5,9.8
39,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,(2024.06.14.),(2024.06.24.),118,109,5,8.4
40,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,(2024.06.07.),(2024.06.07.),81,259,14,9.9
41,역대급 라이프 스타일,현판,에쮸드,(2024.06.21.),(2024.06.24.),148,105,4,8.3
42,나 혼자 탑에서 농사,현판,sdcknight,(2022.09.10.),(2024.06.22.),736,"29,158",680,9.8
43,전생검신,무협,구로수번,(2016.09.09.),(2024.06.23.),1820,"43,855","1,969",9.5
44,독종의 연애 [독점],로맨스,플라비,(2024.06.20.),(2024.06.20.),85,169,8,9.4
