,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
75,폭군을 길들이는 방법 [독점],로맨스,강하다,(2015.05.04.),(2016.02.22.),108,764,"1,121",9.5
76,요마전설 [독점],무협,요도 김남재,(2013.06.05.),(2014.09.17.),182,602,609,9.1
77,"금혼령, 조선혼인금지령 [외전 추가][독점]",로맨스,천지혜,(2015.09.02.),(2020.03.06.),135,"1,107","2,343",9.1
78,템빨,판타지,박새날,(2015.04.03.),(2024.04.26.),2032,"18,933","1,003",8.7
79,무한 레벨업 in 무림 [독점],무협,곤붕,(2016.11.01.),(2021.11.30.),313,"7,494","2,354",8.4
80,운정궁 야사,로판,청몽채화,(2016.04.05.),(2016.11.01.),95,304,745,9.1
81,컴퍼스 콤플렉스 [독점],로맨스,백묘,(2013.09.03.),(2014.01.22.),71,557,183,9.4
82,네 입술에 닿으면 [독점],로맨스,로즈빈,(2015.09.03.),(2016.03.06.),78,830,924,9.6
83,사랑해 악마,로맨스,장현미,(2016.07.05.),(2017.06.13.),112,592,690,8.6
84,뱀파이어의 키스,로판,하야시,(2014.11.01.),(2015.06.09.),95,"1,292","1,349",9.3
85,나는 군주다,판타지,철종금,(2016.08.12.),(2017.08.11.),348,"2,483",887,8.5
86,시니컬 황후,로판,은빈,(2014.02.06.),(2014.10.13.),82,513,958,8.7
87,노블레스S [독점],판타지,손제호,(2011.06.09.),(2012.05.14.),47,751,428,9.1
88,19금,19금,19금,19금,19금,19금,19금,19금,19금
89,너라는 명작 [독점],로판,남꽃분,(2016.06.02.),(2017.04.16.),99,"1,357","1,412",9.7
90,숨결 [독점],로맨스,훈자,(2013.08.07.),(2014.05.28.),77,343,411,8.9
91,엘리와 늑대의 메르헨 [독점],로판,항낭,(2013.11.06.),(2014.09.24.),95,710,737,9.5
92,이드 [개정판],판타지,김대우,(2015.08.18.),(2024.05.14.),1480,"2,443","1,561",8.1
93,여왕님 뜻대로 [독점],로맨스,백묘,(2015.03.04.),(2015.10.21.),106,423,832,9.4
94,강호제일 해결사 [독점],무협,장담,(2014.04.02.),(2015.08.06.),201,260,394,8.8
95,계웅삼전기,판타지,가우리,(2013.12.20.),(2014.09.08.),91,802,561,9.3
96,마신전설,현판,김강현,(2014.03.06.),(2015.01.08.),182,272,524,8.2
97,그리고 우리는 이혼했다,로맨스,효월(김시현),(2016.02.03.),(2016.05.01.),60,148,634,8.5
98,정령왕 엘퀴네스[개정판][연재 판타지],판타지,이환,(2014.03.27.),(2021.01.29.),656,"3,217","1,517",9.2
99,오빠의 정석,로맨스,플아다,(2015.05.05.),(2015.10.27.),78,405,785,9.5
100,마왕의 게임,판타지,니콜로,(2015.07.15.),(2017.08.21.),574,"1,989",542,7.0
101,악마적 취향,로맨스,이하린,(2016.05.04.),(2016.10.16.),86,416,696,9.4
102,백의서소,로판,주썸머,(2015.08.03.),(2016.10.07.),133,418,621,9.4
103,마성의 가정부,라이트노벨,유은이,(2015.12.03.),(2016.06.16.),76,172,503,9.0
104,어린 황후,로맨스,이지환,(2014.01.28.),(2016.08.17.),124,398,502,8.4
105,지극히 평범한,로맨스,박지영,(2014.07.01.),(2014.12.16.),80,466,751,9.3
106,그레이트 써전,현판,수수림,(2015.05.07.),(2020.07.02.),974,636,398,9.4
107,절대독보 [독점],무협,일륜,(2016.09.06.),(2017.12.03.),228,578,559,8.7
108,"향기가 없는, 그러나 치명적인 장미",로맨스,정도령,(2016.08.05.),(2017.04.12.),138,865,"1,089",9.2
109,교룡의 주인,로판,은소로,(2016.03.03.),(2022.11.21.),72,"1,210","1,395",9.6
110,나를 사랑한 주인님,로맨스,용감한 자매,(2014.12.26.),(2015.05.04.),125,264,767,8.3
111,절대마신 [개정판][단행본],무협,장영훈,(2014.11.28.),(2014.11.28.),30,618,462,8.8
112,풍혼,무협,월인,(2014.04.23.),(2016.11.25.),450,351,249,9.2
113,영원의 밤 [독점],판타지,백묘,(2014.05.08.),(2014.12.08.),125,912,905,9.4
114,소년남자,로맨스,진저,(2015.03.31.),(2015.09.05.),88,112,463,8.7
