,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
58,선독점 카이스트 천재는 재벌이 된다,"현대판타지, 퓨전",지지지비,2024.03.21 00:00,2024.06.20 18:48,79 회,"1,036,231","20,341","441,315","6,196"
59,선독점 탈조선 후 대박 스트라이커,스포츠,오수정,2024.03.26 02:56,2024.06.21 00:09,60 회,"1,106,356","17,901","344,399","5,281"
60,선독점 착각계 소드마스터,"판타지, 퓨전",기뮨,2024.03.26 12:37,2024.06.21 00:36,67 회,"1,060,780","25,771","454,994","7,395"
61,선독점 오빠가 천재였다.,"현대판타지, 드라마",시하,2024.03.31 05:30,2024.06.21 14:05,72 회,"1,753,731","38,622","502,359","10,915"
62,선독점 명군이 되어보세!,"대체역사, 전쟁·밀리터리",슈타인호프,2017.07.01 07:14,2024.06.21 07:40,"2,152 회","12,877,245","439,017","15,530,300","12,643"
63,선독점 풍요의 여신과 천재 망나니 사도님,"판타지, 퓨전",곰산타,2024.03.18 21:11,2024.06.20 17:11,99 회,"725,515","24,116","649,349","4,681"
64,선독점 아포칼립스에 집을 숨김,"현대판타지, 퓨전",로드워리어,2022.12.13 11:42,2024.06.20 21:20,464 회,"6,773,407","377,603","3,195,119","33,283"
65,선독점 쓰나미도 피하는 위치선정 축구천재,"스포츠, 현대판타지",계약직,2024.02.08 18:13,2024.06.20 23:00,114 회,"1,818,758","45,406","646,907","10,331"
66,선독점 각성이 멈추질 않는다,"현대판타지, 퓨전",길마,2024.03.12 19:13,2024.06.20 17:55,86 회,"1,763,071","38,817","561,080","9,476"
67,선독점 카이저가 칼들고 협박함,"대체역사, 전쟁·밀리터리",I알자스I,2023.05.18 18:15,2024.06.20 18:00,330 회,"1,298,662","46,157","1,915,266","4,392"
68,선독점 시장통 맛침명의 재벌처가 씹어먹다,"판타지, 현대판타지",가프,2024.03.21 20:52,2024.06.21 11:19,114 회,"1,984,169","56,368","678,764","10,426"
69,선독점 케이팝 씹어먹는 천재 작곡가,"현대판타지, 드라마",이신유,2023.12.13 12:25,2024.06.21 11:00,189 회,"1,951,273","59,815","1,077,887","10,573"
70,선독점 서울역 세종대왕,"대체역사, 현대판타지",구사(龜沙),2023.12.04 14:13,2024.06.20 17:00,165 회,"1,145,812","41,034","927,254","6,035"
71,선독점 야만전사의 게임방송,"현대판타지, 판타지",냐타드코코,2024.01.30 11:19,2024.06.20 20:00,124 회,"944,332","26,155","889,649","5,689"
72,선독점 회귀자 생활백서(回歸者 生活白書),"무협, 판타지",넉울히,2024.02.21 04:15,2024.06.20 18:00,154 회,"2,884,133","80,920","1,137,807","16,381"
73,선독점 고귀한 헌터로 착각당했다,"퓨전, 현대판타지",글포터,2024.02.20 18:25,2024.06.21 13:10,121 회,"2,693,111","68,017","650,044","15,563"
74,선독점 미국 레트로 소설가가 되었다.,"현대판타지, 판타지",뇌조,2023.09.02 23:00,2024.06.20 22:00,323 회,"2,143,820","87,761","2,313,079","9,161"
75,선독점 돌아온 삼촌이 마왕이라는데요?,"현대판타지, 퓨전",김판,2024.05.08 10:31,2024.06.20 17:00,50 회,"910,577","20,350","290,771","6,078"
76,선독점 은퇴 코더가 빅테크를 사버림,"현대판타지, 판타지",SOKIN,2023.10.19 14:25,2024.06.21 11:00,222 회,"2,514,456","54,378","1,123,559","10,871"
77,선독점 억만장자가 된 미전실의 사냥개,"현대판타지, 드라마",홈스탠바이,2024.03.26 18:01,2024.06.20 18:00,91 회,"1,004,267","19,620","702,270","4,985"
78,선독점 몽골조선의 천재 데릴사위가 되었다,"대체역사, 퓨전",기신,2023.09.11 16:41,2024.06.20 22:00,154 회,"1,038,241","27,530","1,392,278","5,517"
79,선독점 우주 무기가 너무 강함,"현대판타지, 판타지",계란탁,2024.04.08 11:00,2024.06.20 20:00,78 회,"1,300,293","27,043","455,955","7,528"
80,선독점 AI 나노봇으로 농사를 딸깍,현대판타지,따상,2024.02.26 14:02,2024.06.20 22:11,95 회,"1,096,995","33,549","511,211","6,157"
81,선독점 역대급 스피드의 축구천재,"스포츠, 판타지",얼음강철,2023.11.23 13:00,2024.06.20 18:00,213 회,"1,787,862","42,043","1,736,615","8,038"
82,선독점 칭찬스티커 받는 단종,"대체역사, 드라마",문환,2023.10.24 07:33,2024.06.20 23:50,182 회,"1,269,648","63,314","1,318,339","7,517"
83,선독점 미궁 속 천재공학자,"퓨전, 현대판타지",병장개미,2022.10.19 12:00,2024.06.21 12:46,494 회,"3,044,700","140,292","2,780,864","12,537"
84,"선독점 을미년, 민비 대신 고종이 죽었다",대체역사,이그드라시,2024.02.23 13:05,2024.06.21 10:32,93 회,"474,072","23,107","589,913","3,622"
85,선독점 귀농한 무한서고의 주인이 꿀빠는 법,"판타지, 퓨전",[세인토],2024.03.25 13:32,2024.06.20 18:00,91 회,"637,749","13,613","479,416","3,794"
86,선독점 게임 마인드의 중세 현대인,판타지,하드폭발,2023.03.01 12:30,2024.06.20 22:33,264 회,"1,771,570","97,029","1,606,473","10,481"
87,선독점 방출당한 투수가 금강불괴로 돌아옴,"스포츠, 현대판타지",단팥빵소년,2024.03.10 20:07,2024.06.21 11:00,142 회,"1,674,756","38,358","910,333","7,560"
88,선독점 세계권력급 아공간 헌터,현대판타지,슬리버,2024.03.28 11:28,2024.06.21 12:05,84 회,"1,822,732","47,850","545,874","12,466"
89,선독점 마갑을 만드는 천재마법사,판타지,레드풋,2024.04.01 20:47,2024.06.20 22:00,88 회,"1,202,518","32,433","638,809","7,467"
90,선독점 총통님 미국 가신다!,"대체역사, 현대판타지",민초냥이,2024.01.23 09:27,2024.06.21 12:20,137 회,"510,460","22,099","839,152","3,414"
91,선독점 내 분신이 거물이 되어간다,"판타지, 현대판타지",실험샘플,2022.07.04 11:29,2024.06.21 13:32,554 회,"5,889,313","219,937","3,703,064","21,193"
92,선독점 미친 천재작가가 돌아왔다,"현대판타지, 드라마",피자소주,2024.03.29 17:02,2024.06.20 21:00,75 회,"955,109","26,707","477,243","6,548"
93,선독점 폐급 배우가 상태창을 숨김,현대판타지,papapa.,2024.01.09 17:51,2024.06.20 20:00,135 회,"1,110,498","37,833","750,800","7,332"
94,선독점 F급 헌터가 우주전함을 키움,"현대판타지, 퓨전",이나르™,2024.01.08 18:20,2024.06.20 18:00,143 회,"1,978,060","49,671","895,179","11,001"
95,선독점 재벌 스탈린은 공산당이 싫어요!,"대체역사, 전쟁·밀리터리",염왕,2023.10.25 20:39,2024.06.20 19:09,168 회,"707,258","32,475","1,290,977","3,762"
96,선독점 몬스터와 힐링하는 S급 헌터,"현대판타지, 판타지",다기205,2023.10.05 10:40,2024.06.20 19:00,248 회,"1,537,666","69,206","1,440,633","7,786"
97,"선독점 조선, 혁명의 시대",대체역사,태사령,2019.06.12 18:20,2024.06.20 18:00,880 회,"5,129,766","189,920","6,026,879","10,849"
98,선독점 천재 매니저는 시끄럽게 살기로 했다,"현대판타지, 판타지",편몽,2024.03.23 20:57,2024.06.20 21:13,89 회,"977,526","26,455","523,022","5,041"
99,선독점 특이점으로 압도한다,"판타지, 현대판타지",우명(牛鳴),2024.02.08 12:10,2024.06.20 18:00,133 회,"711,866","20,038","805,113","3,842"
100,선독점 MLB 천재들이 방출 포수를 너무 좋아함,"스포츠, 현대판타지",에필로거,2024.03.18 10:01,2024.06.20 18:00,92 회,"1,206,460","25,275","507,985","5,600"
101,선독점 회귀한 복학생이 건축 명문대 만듦,"현대판타지, 판타지",방구석리,2024.01.26 15:10,2024.06.20 21:20,134 회,"997,427","27,435","780,349","5,386"
102,선독점 1970 중정 요원은 핵이 필요합니다,"대체역사, 판타지",정사부,2024.03.27 17:31,2024.06.21 12:00,91 회,"484,494","13,347","480,135","3,164"
103,선독점 1988 레트로 게임 재벌,현대판타지,Guybrush,2023.12.03 12:30,2024.06.21 12:30,159 회,"462,512","20,925","1,179,538","3,031"
104,선독점 근력 만렙 중세인,"판타지, 퓨전",련습,2024.02.21 19:56,2024.06.20 23:00,111 회,"1,069,756","32,751","821,058","7,601"
105,선독점 1979 김부장이 독재를 계승 중입니다!,"현대판타지, 대체역사",아아연하게,2023.12.28 23:49,2024.06.20 20:00,170 회,"1,405,947","31,792","961,504","5,463"
106,선독점 조선에는 쿠데타가 필요해요,"대체역사, 전쟁·밀리터리",앙금고라니,2023.06.26 18:20,2024.06.21 10:00,544 회,"1,534,813","84,678","3,287,782","5,364"
107,선독점 말단 병사가 너무 강함,"판타지, 퓨전",글택,2023.12.03 18:22,2024.06.20 19:20,202 회,"2,210,177","43,996","1,284,904","10,233"
108,선독점 별에서 온 조선인,대체역사,조휘,2024.03.15 17:19,2024.06.20 18:00,73 회,"488,017","12,560","489,078","2,846"
109,선독점 아포칼립스 EX급 벙커 라이프,"현대판타지, 퓨전",켈린더,2024.04.11 14:50,2024.06.20 18:30,74 회,"748,191","14,732","468,286","4,660"
110,선독점 환생한 음악천재가 재능을 못 숨김,현대판타지,아몬드빵,2024.01.28 19:47,2024.06.20 23:00,118 회,"1,893,278","48,513","645,932","10,809"
111,선독점 회귀한 김에 아이돌 때려칩니다,"현대판타지, 로맨스",엔터키뽑,2024.04.03 14:00,2024.06.20 21:48,73 회,"1,347,359","31,382","420,350","9,503"
112,선독점 초월자들과 거래하는 헌터,"현대판타지, 판타지",지장수,2024.02.15 19:28,2024.06.20 21:00,132 회,"1,115,818","22,435","917,234","3,392"
113,선독점 귀농했는데 아포칼립스 터졌다,"현대판타지, 판타지",버머랜드,2024.02.21 22:48,2024.06.21 16:20,115 회,"885,995","24,449","696,975","4,782"
114,선독점 기적을 빚는 도예가,"현대판타지, 판타지",노델,2024.03.11 08:05,2024.06.20 21:19,101 회,"726,367","21,354","567,877","4,646"
115,선독점 무인도 힐링 라이프를 꿈꿨는데 대박집 사장님이 되었다!,현대판타지,R렉스,2024.03.15 15:56,2024.06.20 18:00,100 회,"563,463","15,653","546,814","3,139"
116,선독점 재앙급 귀환자의 현대 생활,"현대판타지, 퓨전",펜리힐드,2023.08.29 21:50,2024.06.20 18:00,226 회,"1,781,552","41,236","1,615,016","8,248"
117,선독점 테니스 코트 위의 절대자,"스포츠, 일반소설",김군0619,2023.07.13 20:26,2024.06.21 12:05,349 회,"1,257,616","52,175","2,779,722","4,896"
118,선독점 고인물의 스킬이 너무 화려하다,"퓨전, 판타지",광산김가,2024.02.05 10:58,2024.06.20 21:00,115 회,"1,794,728","36,706","743,541","9,095"
119,선독점 무신들의 단톡방에 초대되었다,"무협, 퓨전",엉끼,2023.11.21 10:30,2024.06.20 17:00,152 회,"1,672,881","36,938","1,294,979","8,868"
120,선독점 재벌집 만렙 아들,"현대판타지, 드라마",오소록,2022.10.19 01:54,2024.06.20 20:00,435 회,"4,199,355","109,901","2,575,951","17,834"
121,선독점 회사 잘린 김에 음악천재 합니다,"현대판타지, 일반소설",먹고땡,2024.03.21 15:59,2024.06.21 12:00,84 회,"894,751","18,930","507,061","5,184"
122,선독점 귀농한 천재 황족은 혈통을 숨김,"퓨전, 무협",어로달,2024.01.02 13:40,2024.06.20 23:00,149 회,"1,072,932","28,428","761,700","4,671"
123,선독점 EX급 절대반지를 얻었다,"퓨전, 현대판타지",김현준™,2024.04.05 10:28,2024.06.21 15:00,83 회,"1,688,626","36,996","607,384","9,860"
124,선독점 삼국지 원가의 망나니 대공자,대체역사,레니sh,2024.01.20 01:48,2024.06.20 20:00,138 회,"636,074","15,474","738,016","2,771"
125,선독점 당문전,무협,제이허빈,2023.04.05 00:22,2024.06.21 15:00,435 회,"4,119,948","209,245","2,982,462","17,205"
126,선독점 격랑을 누르는 검,무협,백연™,2024.02.03 09:43,2024.06.21 08:00,129 회,"1,419,349","47,440","695,180","7,760"
127,선독점 이혼 후 작두 탔습니다.,현대판타지,동심(動心),2023.08.22 21:21,2024.06.20 20:00,238 회,"1,662,522","28,963","1,871,088","5,713"
128,선독점 빌보드 1위로 시작하는 작곡생활,"현대판타지, 드라마",바사라단,2024.03.14 17:44,2024.06.21 08:20,92 회,"991,318","23,579","567,772","5,803"
129,선독점 투수가 딸깍함!,"스포츠, 현대판타지",엉심킬러,2023.12.06 10:50,2024.06.21 13:00,166 회,"1,316,377","36,813","987,176","6,158"
130,선독점 우주에서 날아온 재벌님,"현대판타지, 퓨전",오유,2021.10.27 14:00,2024.06.20 18:00,150 회,"919,159","22,614","822,990","3,576"
131,선독점 괴물 천재선수들이 날 너무 좋아함,"스포츠, 현대판타지",혜인태,2023.11.22 12:46,2024.06.21 12:00,229 회,"1,955,360","50,863","1,208,811","9,203"
132,선독점 메이저리그로 간다,"스포츠, 현대판타지",마인네스,2024.01.12 07:01,2024.06.21 08:00,165 회,"1,234,525","30,349","893,393","4,945"
133,선독점 똥손 재벌 3세 회귀하다,"현대판타지, 대체역사",Primus,2024.02.20 17:10,2024.06.21 08:00,147 회,"880,192","15,332","777,207","3,715"
134,선독점 여행 중에 아이가 생겼다.,현대판타지,소설마표,2024.03.14 16:49,2024.06.20 18:00,102 회,"823,305","16,088","530,048","3,972"
135,선독점 1953 맨손 재벌,"현대판타지, 대체역사",knoxk,2022.11.01 07:44,2024.06.21 07:00,406 회,"1,207,215","44,447","2,389,169","5,099"
136,선독점 내 땅에 통행료가 들어온다,"퓨전, 판타지",현진현우,2024.03.04 16:20,2024.06.20 18:00,112 회,"652,480","14,653","601,423","2,919"
137,선독점 변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,2024.02.22 23:08,2024.06.20 18:15,127 회,"706,152","31,747","1,186,812","5,664"
138,선독점 존버했더니 제국권력급 스승을 얻었다,"현대판타지, 퓨전",05林,2024.03.26 14:57,2024.06.20 22:21,84 회,"1,059,438","20,774","463,888","5,018"
139,선독점 역천무림,무협,라바테라,2024.03.22 18:36,2024.06.20 22:39,93 회,"1,112,879","25,881","556,822","5,629"
140,선독점 맛집 사장님은 빌런 탈곡기,"현대판타지, 퓨전",크엉컹컹,2024.01.14 21:34,2024.06.21 10:00,149 회,"546,646","24,276","1,051,742","2,874"
141,선독점 아포칼립스 장난감,"현대판타지, 퓨전",눌프,2024.03.16 18:29,2024.06.21 13:30,92 회,"1,772,888","46,828","510,890","10,268"
142,선독점 파혼 후 역대급 투자 천재,"현대판타지, 퓨전",단골손놈,2024.03.19 00:39,2024.06.20 20:00,103 회,"1,390,161","23,902","627,668","6,622"
143,선독점 S급 용병의 슬기로운 사회생활,현대판타지,한준솔봄,2023.09.19 08:25,2024.06.20 22:00,251 회,"2,207,591","55,531","1,770,843","11,342"
144,선독점 괴물 음악천재가 되어 돌아왔다,현대판타지,츠로프,2024.03.02 19:13,2024.06.20 22:43,106 회,"1,162,488","27,494","609,334","6,567"
145,선독점 내 안에 AI가 들어왔다,현대판타지,장경의꿈,2024.01.24 09:53,2024.06.21 12:20,134 회,"1,411,426","29,110","742,138","5,097"
146,선독점 여행 유튜버가 된 언어 천재,"현대판타지, 판타지",한성윤,2023.12.03 15:45,2024.06.20 18:00,167 회,"994,381","28,293","986,598","5,584"
147,선독점 다이아수저 발롱도르,"스포츠, 현대판타지",S.Captain,2023.12.22 22:00,2024.06.20 22:20,150 회,"956,147","20,608","881,702","4,768"
148,선독점 수비천재가 3점을 폭격함,"스포츠, 현대판타지",코다,2024.03.04 21:57,2024.06.20 22:00,122 회,"946,623","24,715","723,743","5,197"
149,선독점 중세 불꽃의 기사로 살아남기,"판타지, 퓨전",포더엠,2024.03.18 18:42,2024.06.20 20:00,97 회,"1,285,627","33,896","630,078","7,464"
150,선독점 빌런의 제국이 시작되었다,"대체역사, 현대판타지",느린손,2024.02.25 08:41,2024.06.20 23:52,60 회,"301,892","7,857","363,168","2,083"
151,선독점 딸을 위해 쓴 소설이 대박났다,"현대판타지, 드라마",소수깡,2023.12.26 12:30,2024.06.20 20:10,154 회,"1,119,449","31,295","1,153,977","6,410"
152,선독점 괴물급 천재 작가들이 날 너무 좋아함,"현대판타지, 판타지",shoro,2024.03.20 18:10,2024.06.21 08:00,102 회,"607,405","20,992","549,136","4,126"
153,선독점 황금 귀의 프로듀서,"현대판타지, 퓨전",무적푸딩,2024.02.25 13:05,2024.06.21 11:50,115 회,"1,317,532","29,431","688,952","6,131"
154,선독점 북부 대공의 시한부 딸을 살려버렸다,판타지,장홍,2024.02.05 20:11,2024.06.20 21:20,127 회,"2,207,449","58,135","816,150","14,301"
155,선독점 서부의 합법적 핵쟁이가 되었다,"현대판타지, 판타지",배뿌,2023.10.22 21:26,2024.06.20 18:59,181 회,"1,758,493","63,680","970,816","10,335"
156,선독점 전생킬러인데 모범시민,현대판타지,장성필,2023.07.31 08:20,2024.06.20 19:07,213 회,"2,524,710","68,273","1,108,015","9,465"
157,선독점 삼국지 : 유비의 아들은 조용히 살고 싶다.,"대체역사, 판타지",조작가R,2024.02.19 18:02,2024.06.20 19:00,106 회,"299,633","11,102","634,622","1,994"
158,선독점 좌천된 재벌 3세는 역대급 축구 단장,"스포츠, 현대판타지",끄적이다,2023.12.04 12:55,2024.06.20 19:00,199 회,"536,179","18,216","1,282,515","2,448"
159,선독점 미국 피지컬 천재의 이중생활,현대판타지,용린龍鱗,2023.03.23 18:05,2024.06.20 21:00,188 회,"2,499,753","77,359","1,175,354","12,165"
160,선독점 전생에 모네 친구였던 재벌집 망나니,"현대판타지, 판타지",폭팡,2024.03.11 14:37,2024.06.20 18:00,94 회,"896,968","20,065","633,909","5,041"
161,선독점 전직 사단장이 러일전쟁을 캐리함,"대체역사, 퓨전",꿈사학도,2023.07.31 06:00,2024.06.21 06:00,316 회,"774,654","27,725","2,070,122","3,291"
162,선독점 고졸순경이 경찰청장 되기,"현대판타지, 퓨전",해황,2020.05.11 16:44,2024.06.20 18:00,"1,907 회","3,536,608","105,908","12,506,256","4,413"
163,선독점 스펠릭의 사냥꾼,"판타지, 퓨전",zaksalking,2023.06.02 23:20,2024.06.21 01:23,328 회,"975,460","33,959","1,925,575","4,057"
