,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
171,선독점 삼한제일검 중원을 밟다. (부제:까마귀 귀신),무협,자동연필통,2023.08.18 01:17,2024.06.15 21:12,104 회,"210,856","4,021","592,741",546
172,포졸 진가수,무협,노경찬,2017.03.03 23:00,2017.10.16 12:00,200 회,"153,465","2,842","1,128,369",454
173,선독점 중년 무사,무협,사바희,2020.08.06 23:59,2021.04.29 17:05,230 회,"1,248,855","32,024","1,636,048","3,319"
174,대종사,무협,이영신,2017.08.07 11:07,2017.08.09 10:05,175 회,"25,123",286,"1,242,739",101
175,수라검선,무협,곽운,2017.09.27 18:04,2017.09.28 18:47,150 회,"43,291",778,"746,188",191
176,"[완전판] 해왕, 하늘을 건너다",무협,소그미,2022.09.28 15:16,2022.09.28 17:24,290 회,"3,086",70,"1,998,612",20
177,선독점 무당반재,"무협, 퓨전",지로통,2023.06.26 18:00,2024.06.23 17:09,229 회,"155,209","2,763","1,299,969",403
178,진씨세가 나태공자,무협,새벽검,2024.03.25 15:04,2024.03.25 16:04,275 회,"1,832",49,"1,596,575",10
179,선독점 천마는 아직 살아있다,무협,주먹남,2023.01.18 21:40,2023.05.08 10:00,161 회,"381,911","7,703","869,449",646
180,선독점 신승환생,"무협, 퓨전",성불예정,2019.03.13 08:00,2020.01.09 18:00,223 회,"461,755","10,188","1,201,860","1,037"
181,선독점 [개정판] 마신(魔神),무협,김강현,2020.03.19 16:00,2020.04.03 18:00,200 회,"513,482","8,758","1,280,932","2,132"
182,선독점 후궁으로 살아남기,"무협, 퓨전",[도원경],2022.05.11 10:14,2023.04.07 12:00,251 회,"703,056","29,125","1,453,830","3,308"
183,선독점 제갈세가 차남이 흑도맹주,무협,노호랑,2021.12.20 05:06,2022.07.03 07:00,200 회,"411,942","8,966","1,091,309","1,157"
184,쟁자수,무협,태황,2017.03.31 21:00,2017.09.10 21:00,175 회,"133,237","2,328","846,303",307
185,선독점 회귀했더니 검신이었다,무협,맥치,2018.02.22 08:10,2018.10.01 08:05,150 회,"2,829,595","69,912","812,415","10,045"
186,선독점 손만 대면 무공 흡수,"무협, 판타지",김한™,2019.11.22 18:00,2020.04.14 13:36,151 회,"1,019,725","21,996","885,114","3,314"
187,선독점 업어 키운 사매들,"무협, 퓨전",앤서,2018.10.10 20:30,2019.04.19 19:23,169 회,"2,115,417","53,688","971,742","7,392"
188,행로난 (行路難),무협,송진용,2015.07.14 06:00,2015.10.16 13:00,99 회,"12,545",463,"480,673",63
189,훔친 비급으로 천하제일,무협,향부,2023.10.18 10:23,2023.10.18 18:35,229 회,"5,172",56,"1,376,322",41
190,선독점 회귀 천마,"무협, 퓨전",김태현,2022.11.18 18:00,2023.05.22 10:00,150 회,"555,992","14,445","856,387","1,641"
191,선독점 천마 객잔,"무협, 퓨전",종현,2019.02.17 16:08,2021.06.12 19:00,275 회,"2,860,510","78,367","1,524,680","9,603"
192,검명,무협,장경,2015.03.09 14:56,2017.10.12 08:00,340 회,"113,298","6,276","2,255,521",538
193,선독점 신비공자,무협,김강현,2015.03.18 16:02,2015.07.25 12:31,225 회,"1,620,823","55,828","1,239,048","4,539"
194,동창(東廠),무협,독수리3호,2014.09.11 17:08,2015.04.01 00:07,204 회,"1,334,309","42,086","1,340,245","2,869"
195,선독점 점창 대사형은 참지 않지,무협,광별,2023.05.10 10:07,2023.10.20 08:20,150 회,"1,130,067","21,301","777,777","3,023"
196,선독점 임독양맥을 뚫었는데 환골탈태에 실패했다,"현대판타지, 무협",시원한파스,2022.08.16 21:54,2023.02.14 23:55,81 회,"2,531,354","68,513","433,669","12,284"
197,철권 마종의,무협,한수오,2015.04.07 19:00,2017.11.15 06:00,508 회,"649,421","20,511","2,926,019","1,459"
198,선독점 초안사서(鷦眼司書),무협,향란(香蘭),2013.05.26 21:44,2014.01.10 10:57,75 회,"134,798","1,450","434,458",225
199,선독점 전생검존,"무협, 판타지",등천패왕,2021.01.18 17:10,2021.08.30 20:00,171 회,"1,237,330","19,308","1,016,159","3,058"
200,선독점 내공 쓰는 한의사,"현대판타지, 무협",글공작,2022.10.13 21:12,2023.04.12 22:50,143 회,"1,657,158","50,758","852,692","7,885"
