,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
29,"선독점 조선, 혁명의 시대",대체역사,태사령,2019.06.12 18:20,2024.06.24 18:00,882 회,"5,138,511","190,302","6,041,600","10,851"
30,선독점 총통님 미국 가신다!,"대체역사, 현대판타지",민초냥이,2024.01.23 09:27,2024.06.25 12:20,139 회,"516,660","22,377","851,394","3,420"
31,선독점 서울역 세종대왕,"대체역사, 현대판타지",구사(龜沙),2023.12.04 14:13,2024.06.25 17:00,168 회,"1,151,006","41,301","944,187","6,026"
32,선독점 초대 콧수염 대마왕이 되었다,"대체역사, 판타지",리첼렌,2024.02.08 16:18,2024.06.25 09:30,128 회,"710,740","45,304","975,625","5,674"
33,선독점 똥손 재벌 3세 회귀하다,"현대판타지, 대체역사",Primus,2024.02.20 17:10,2024.06.25 08:00,151 회,"885,744","15,430","798,362","3,706"
34,선독점 서부로 간 검은머리 용병,"대체역사, 퓨전",노오력.,2021.07.26 18:43,2024.01.23 20:10,592 회,"2,508,301","121,981","3,808,458","8,874"
35,선독점 재벌 스탈린은 공산당이 싫어요!,"대체역사, 전쟁·밀리터리",염왕,2023.10.25 20:39,2024.06.24 19:05,170 회,"711,304","32,717","1,308,044","3,766"
36,선독점 1953 맨손 재벌,"현대판타지, 대체역사",knoxk,2022.11.01 07:44,2024.06.23 07:00,408 회,"1,212,506","44,557","2,400,081","5,108"
37,"선독점 고려, 신대륙에 떨어지다","대체역사, 퓨전",마늘맛스낵,2020.07.05 01:31,2023.04.10 22:00,653 회,"6,330,143","250,328","4,526,305","11,834"
38,선독점 검은머리 미군 대원수,"대체역사, 현대판타지",명원(命元),2020.06.29 19:00,2023.05.16 14:00,583 회,"28,304,462","896,262","3,460,974","44,499"
39,선독점 삼국지 : 유비의 아들은 조용히 살고 싶다.,"대체역사, 판타지",조작가R,2024.02.19 18:02,2024.06.24 19:00,109 회,"303,454","11,283","654,091","2,007"
40,선독점 별에서 온 조선인,대체역사,조휘,2024.03.15 17:19,2024.06.24 18:00,75 회,"491,142","12,694","500,540","2,788"
41,선독점 1592 모두가 꿈꾼 제국,"대체역사, 전쟁·밀리터리",저스티츠,2022.12.23 14:59,2024.06.25 15:00,404 회,"1,095,843","50,372","2,418,234","4,091"
42,선독점 6.25 후 부동산 재벌이 되었다,"대체역사, 판타지",투자인,2024.03.18 13:33,2024.06.25 06:35,135 회,"317,658","6,950","734,838","1,126"
43,선독점 나의 조선에 유교는 필요없다,"대체역사, 판타지",정동갑제,2024.03.13 23:43,2024.06.24 20:00,120 회,"596,015","16,201","795,860","2,659"
44,선독점 재벌에서 광복군까지,"대체역사, 전쟁·밀리터리",빛나는구름,2023.05.10 11:42,2024.06.25 11:00,423 회,"497,571","13,525","2,415,441","1,740"
45,선독점 스마트폰을 든 세종,"대체역사, 드라마",문환,2021.05.20 07:39,2022.05.14 18:00,266 회,"3,023,654","118,585","1,605,779","14,380"
46,선독점 망명정부의 각하가 되었다,"대체역사, 전쟁·밀리터리",겸업작가,2024.01.11 12:16,2024.06.25 14:05,177 회,"605,638","13,626","979,340","2,046"
47,선독점 멕시코 제국 황태자가 되었다,"대체역사, 판타지",폭우(暴雨),2023.10.15 15:54,2024.06.25 17:24,214 회,"837,689","31,770","1,224,562","4,279"
48,선독점 인생 2회차 철종의 슬기로운 정복생활,"대체역사, 전쟁·밀리터리",MOOHA,2023.12.15 22:30,2024.06.24 23:00,187 회,"687,926","17,152","1,199,740","2,430"
49,선독점 환생했더니 단종의 보모나인,"대체역사, 퓨전",윤인수,2022.08.31 08:17,2024.05.17 17:53,433 회,"2,798,277","144,871","2,504,782","9,375"
