,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,불로불사로 산다는 것은,판타지,겨울에어컨,(2023.11.29.),(2024.06.27.),196,"1,710",23,8.8
2,천마홈즈 런던앙복 [독점],무협,옴니버,(2023.03.28.),(2024.06.27.),394,"5,977",125,8.7
3,이름대로 살련다,현판,SSANTA,(2023.12.06.),(2024.06.27.),151,40,2,9.3
4,부패의 사제,판타지,사다듬,(2020.12.17.),(2024.06.27.),375,"3,587",116,8.8
5,불로불사가 사는 법 [독점],현판,Neuf,(2023.01.24.),(2024.06.27.),409,"4,169",30,9.3
6,턴제의 마법사,판타지,정따블,(2024.05.17.),(2024.06.27.),139,"1,126",9,9.6
7,파브르 in 사천당가,무협,에르훗,(2024.01.09.),(2024.06.27.),273,"5,278",22,9.6
8,칭찬스티커 받는 단종,판타지,문환,(2024.02.28.),(2024.06.27.),186,"1,731",6,9.8
9,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,(2022.10.21.),(2024.06.27.),691,"17,221",99,9.6
10,망겜에 갇힌 고인물,판타지,체엔,(2021.11.19.),(2024.06.27.),807,"5,570",28,9.9
11,삼류 마이너리거가 공을 잘 봄,현판,노메이껍,(2024.04.18.),(2024.06.27.),170,48,5,9.1
12,언더핸드로 160Km를 던지게 되었다,현판,전성기,(2024.03.12.),(2024.06.27.),208,210,3,7.6
13,케이팝 씹어먹는 천재 작곡가,현판,이신유,(2024.04.03.),(2024.06.27.),195,572,14,9.4
14,축구천재들의 재능을 삼켰다,현판,저니환,(2024.05.14.),(2024.06.27.),191,210,좋아요,8.3
15,은퇴 코더가 빅테크를 사버림,현판,SOKIN,(2024.01.30.),(2024.06.27.),226,864,25,7.5
16,방출당한 투수가 금강불괴로 돌아옴,현판,단팥빵소년,(2024.06.05.),(2024.06.27.),153,415,5,8.6
17,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,(2024.06.21.),(2024.06.27.),111,75,1,8.1
18,회귀헌터는 잘 살고 싶다,현판,보리네집사,(2023.07.17.),(2024.06.27.),313,138,7,8.8
19,재벌에서 광복군까지,판타지,빛나는구름,(2023.10.16.),(2024.06.27.),425,188,5,9.1
20,미래의 황제를 갈아치웠다 [독점],판타지,새우강도단,(2024.03.26.),(2024.06.27.),136,528,5,9.8
21,검 잡으면 시간이 느려짐,판타지,조2,(2024.04.26.),(2024.06.27.),179,65,3,8.3
22,천재가 된 재벌가 사생아는 말단 사원으로 시작한다,현판,머리아픈이,(2024.05.28.),(2024.06.27.),222,23,3,7.8
23,살수천하(殺手天下),무협,유대하,(2024.04.23.),(2024.06.27.),115,15,3,9.9
24,독자를 위한 연중작은 없다,판타지,A사과,(2022.07.27.),(2024.06.27.),461,"1,709",6,9.1
25,재벌 3세는 조용히 살고 싶다,현판,SSDHDD,(2020.09.16.),(2024.06.27.),1584,667,21,7.3
26,"나를 혐오하세요, 공작님 [독점]",로판,이초원,(2024.04.03.),(2024.06.27.),139,58,6,8.8
27,용사의 옆집에 산다는 것,판타지,세트앙크,(2021.10.08.),(2024.06.27.),722,579,9,8.7
28,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,(2020.12.06.),(2024.06.27.),602,"72,590","2,374",7.5
29,주인공 갑질만세!,현판,군만두먹자,(2022.04.04.),(2024.06.27.),293,551,7,7.6
30,EX급 창고를 얻었다,판타지,한손검,(2024.06.19.),(2024.06.27.),117,158,2,7.7
31,AI 나노봇으로 농사를 딸깍,현판,따상,(2024.06.26.),(2024.06.27.),102,24,1,7.8
32,EX급 축구화를 얻었다.,현판,운좋은놈,(2024.03.13.),(2024.06.27.),196,349,좋아요,8.0
33,초원의 집,로맨스,은울림,(2024.05.09.),(2024.06.27.),67,1,2,10.0
34,게임 마인드의 중세 현대인,판타지,하드폭발,(2023.07.28.),(2024.06.27.),265,"5,023",17,9.8
35,괴물 음악천재가 되어 돌아왔다,현판,츠로프,(2024.06.21.),(2024.06.27.),110,27,3,8.6
36,근력 만렙 중세인,판타지,련습,(2024.06.17.),(2024.06.27.),116,152,1,9.2
37,근본있는 소드마스터,판타지,로튼애플,(2024.06.11.),(2024.06.27.),124,79,2,7.8
38,기적을 빚는 도예가,현판,노델,(2024.06.21.),(2024.06.27.),107,8,2,9.8
39,다이아수저 발롱도르,현판,S.Captain,(2024.04.24.),(2024.06.27.),154,314,1,9.0
40,아카데미 편의점으로 힐링 할게요,판타지,커피는카누,(2021.09.15.),(2024.06.27.),1092,"18,238",68,9.7
41,뒷산파고 1000조 골드재벌,현판,폰작가,(2024.03.22.),(2024.06.27.),189,347,9,8.8
42,돈 쓸어담는 천재 투자자,현판,이공이공,(2024.05.30.),(2024.06.27.),110,120,3,8.8
43,매국노의 원수 자식,판타지,슈가트,(2021.09.06.),(2024.06.27.),826,"6,505",19,9.6
44,매국노의 원수 자식,판타지,슈가트,(2021.09.06.),(2024.06.27.),826,"6,505",19,9.6
45,게임 속에 1억 명이 소환됐다,판타지,글공대장,(2024.05.15.),(2024.06.27.),378,4,좋아요,8.8
46,범재의 그라운드,현판,페이지원,(2024.06.07.),(2024.06.27.),112,52,2,7.8
47,삼국지 : 동탁빙의 후 천하통일 대박,판타지,로노바,(2024.06.17.),(2024.06.27.),113,32,1,8.0
48,스펠릭의 사냥꾼,판타지,zaksalking,(2023.10.06.),(2024.06.27.),330,285,3,8.9
49,유령 열차를 탄 회귀자,현판,높푸름,(2024.03.15.),(2024.06.27.),214,142,좋아요,9.4
50,대역은 연기하고 싶다 [독점],현판,이립서생,(2023.03.14.),(2024.06.27.),383,"1,887",19,9.5
51,조선에는 쿠데타가 필요해요,판타지,앙금고라니,(2023.09.12.),(2024.06.27.),553,"2,145",18,9.0
52,의사가 음악을 너무 잘함,현판,세끝,(2024.06.10.),(2024.06.27.),127,44,2,8.2
53,조선패왕 단종,판타지,플로린,(2024.01.17.),(2024.06.27.),239,965,5,9.2
54,퇴사 후 투자 대박,현판,버들마루,(2023.12.21.),(2024.06.27.),167,209,4,8.0
55,판타지 속 천재 기사로 살아가는 법,판타지,절필방지,(2024.05.14.),(2024.06.27.),139,367,3,8.8
56,해를 세다,현판,황금하르방,(2024.04.15.),(2024.06.27.),177,165,2,8.6
57,환생한 음악천재가 재능을 못 숨김,현판,아몬드빵,(2024.05.22.),(2024.06.27.),121,438,9,8.9
58,삼국지 : 내가 영웅의 그릇인가.,판타지,엠보돌,(2024.04.10.),(2024.06.27.),172,"1,021",21,9.2
59,죽음 뒤에 알게 된 것들 [독점],로판,은라겸,(2023.12.09.),(2024.06.27.),204,"1,464",11,9.3
60,어쩌다 재벌집 사위가 된 당신을 위한 지침서,현판,소탐자,(2024.01.27.),(2024.06.27.),271,299,2,9.1
61,범상한 변호사의 아공간,현판,서칸더브이,(2024.04.11.),(2024.06.27.),182,"1,537",31,9.7
62,국가권력급 귀환자의 현대생활,판타지,앱솔,(2024.06.20.),(2024.06.27.),141,48,좋아요,5.2
63,마교교주가 정체를 숨김,무협,굴강적소비토,(2023.12.04.),(2024.06.27.),416,548,12,8.7
64,수술실 온 에어,현판,진웅초묵,(2020.08.14.),(2024.06.27.),2087,51,14,7.7
65,기억을 담는 사진작가,현판,덤벙,(2024.04.26.),(2024.06.27.),161,206,2,9.8
66,파혼 후 S급 능력을 얻었다,현판,뭉낑깡,(2024.05.20.),(2024.06.27.),136,120,1,5.1
67,담씨세가 소공자는 사파제일인 [독점],무협,하긴,(2024.01.02.),(2024.06.27.),189,249,17,9.1
68,등선 대신 귀환했다 [독점],현판,담인,(2023.11.14.),(2024.06.27.),184,99,2,6.9
69,메이저리그로 간다,현판,마인네스,(2024.04.19.),(2024.06.27.),170,157,2,7.3
70,격랑을 누르는 검,무협,백연,(2024.05.31.),(2024.06.27.),133,194,2,8.7
71,차라리 빌런으로 살겠다,현판,서인하,(2024.06.20.),(2024.06.27.),129,539,10,9.7
72,천산방 [독점],무협,허담,(2023.12.19.),(2024.06.27.),214,845,9,9.0
73,똥손 재벌 3세 회귀하다,현판,Primus,(2024.05.06.),(2024.06.27.),153,167,3,7.9
74,무당이 역대급 음악천재였다,현판,한꽃,(2024.06.05.),(2024.06.27.),137,247,2,9.1
75,허니비 모놀로그,로맨스,심윤서,(2024.06.27.),(2024.06.27.),38,0,좋아요,0.0
76,안개 속에 숨다 [개정판],로맨스,이서윤,(2024.06.27.),(2024.06.27.),77,0,좋아요,0.0
77,폴라리스 [외전포함],로맨스,정경윤,(2024.06.27.),(2024.06.27.),51,0,좋아요,0.0
78,이세계의 재벌황제 [독점],현판,gonnagetya,(2023.09.26.),(2024.06.27.),246,174,19,7.7
79,이세계의 재벌황제 [독점],현판,gonnagetya,(2023.09.26.),(2024.06.27.),246,174,19,7.7
80,황로천하를 꿈꾸다 [무료연재],판타지,이휘,(2024.05.28.),(2024.06.27.),40,18,1,8.2
81,"벗어 주시겠습니까, 공작님 [독점]",로판,루비체,(2023.12.28.),(2024.06.27.),188,208,9,9.1
82,"악연이 끝나고 난 후, [독점]",로판,햇빛가루,(2024.05.08.),(2024.06.27.),96,29,2,8.2
83,세인트힐의 상속자 [독점],로판,한오후,(2024.06.05.),(2024.06.27.),99,6,좋아요,9.7
84,혈귀무쌍,무협,강민성,(2023.12.05.),(2024.06.27.),312,"1,350",12,8.9
85,1953 맨손 재벌,현판,knoxk,(2023.02.24.),(2024.06.27.),410,"3,083",28,9.5
86,1968 미국 락의 정복자가 되었다,현판,온더로드,(2024.02.16.),(2024.06.27.),207,85,10,8.8
87,전직 사단장이 러일전쟁을 캐리함,판타지,꿈사학도,(2023.12.11.),(2024.06.27.),320,248,1,9.0
88,일식이가 간다,현판,이후,(2015.08.24.),(2024.06.27.),1797,149,21,8.8
89,퓨전삼국지 천하를 화평하게 하라!,판타지,김현빈,(2024.04.20.),(2024.06.27.),231,48,2,8.8
90,네 것을 빼앗는 이유 [독점],로판,임프레시브,(2024.06.12.),(2024.06.27.),104,85,1,9.4
91,미친 괴물급 천재 칼잡이의 아포칼립스,현판,노글라스,(2024.06.15.),(2024.06.27.),108,29,1,9.0
92,"은퇴 헌터, 해남 되다",현판,귤잠꾼,(2024.06.12.),(2024.06.27.),112,76,3,8.4
93,물거품 [선공개],로맨스,블루밍,(2024.06.26.),(2024.06.27.),66,4,좋아요,10.0
94,웹소설 주인공이 해골병사라니 [독점],판타지,진후,(2023.12.05.),(2024.06.27.),238,882,19,9.2
95,어린 마공학자는 탑을 오른다 [독점],현판,여보개,(2024.05.07.),(2024.06.27.),61,78,2,8.7
96,반선 [독점],무협,약천수,(2023.06.20.),(2024.06.27.),908,"1,774",6,8.3
97,비호환생 [독점],무협,거해,(2023.07.11.),(2024.06.27.),327,97,2,8.1
98,네크로맨시로 레벨업하는 성자님 [독점],판타지,글수저,(2023.12.19.),(2024.06.27.),224,"1,069",5,9.3
99,검술 천재는 보상을 2배로 받는다 [독점],판타지,카나리스,(2024.01.23.),(2024.06.27.),123,27,좋아요,6.8
100,자객 - 항쟁의 시대 [독점],판타지,세상밖으로,(2024.02.20.),(2024.06.27.),158,173,7,9.5
101,3D프린터 쓰는 대장장이 [독점],판타지,준제비,(2024.04.16.),(2024.06.27.),73,160,6,7.8
102,망할 게임 속 네안데르탈인이 되었다 [독점],판타지,빛날환,(2024.05.07.),(2024.06.27.),61,42,2,7.9
103,이세계 프로레슬러 [독점],판타지,홍삼더덕,(2023.08.08.),(2024.06.27.),316,"1,474",13,9.4
104,원작이 끝난 후 주인공이 찾아왔다 [독점],로판,김비란,(2023.12.30.),(2024.06.27.),171,226,10,9.6
105,Z-시대의 기사 [독점],현판,김쓰요,(2024.03.19.),(2024.06.27.),151,336,39,9.4
106,옥탑방 세계수 [독점],현판,챠슈,(2024.04.02.),(2024.06.27.),128,100,8,9.0
107,인서울 로망스 [독점],로맨스,신이봄,(2024.04.05.),(2024.06.27.),115,129,3,9.4
108,후회조차 사치인 당신들에게 [독점],로판,요정용,(2023.09.19.),(2024.06.27.),135,524,11,9.3
109,"푸른 밤, 황홀의 윤무 [독점]",로판,유안나,(2019.02.27.),(2024.06.27.),1027,"7,508",324,9.9
110,허건필 센타 [독점],현판,편반장,(2023.10.10.),(2024.06.27.),213,801,24,9.4
111,빙의자의 아티펙트 레스토랑 [독점],현판,마감싫어,(2023.11.14.),(2024.06.27.),239,74,1,7.8
112,아카데미 폐인 공자는 만 번 죽는다 [독점],판타지,호수달,(2023.12.12.),(2024.06.27.),153,664,14,9.2
113,전생자는 아포칼립스가 밉다 [독점],판타지,은결과달빛,(2023.12.05.),(2024.06.27.),224,346,4,8.8
114,디스토피아 페르소나 [독점],판타지,티타펠꼬망,(2024.02.06.),(2024.06.27.),156,561,5,9.2
115,검제전생 [독점],무협,무천일,(2024.02.27.),(2024.06.27.),129,27,8,8.5
116,연개소문 없는 고구려생활,판타지,아랫뉘,(2024.06.18.),(2024.06.27.),191,7,2,8.7
117,아카데미에서 한글로 살아남기 [무료연재],판타지,유우리,(2024.06.18.),(2024.06.27.),19,49,3,7.5
118,하루빨리 남편이 죽어야 하는데 [선공개],로판,번루,(2024.04.10.),(2024.06.27.),136,91,7,9.0
119,마귀는 총으로 잡는다 [독점],판타지,이그니시스,(2023.09.05.),(2024.06.27.),336,652,8,9.4
120,회귀의 전설,현판,김광수,(2019.03.28.),(2024.06.27.),1383,"9,179",138,7.9
121,남편 찾아 입대했습니다 [독점],로판,참람,(2023.08.02.),(2024.06.27.),260,332,15,8.7
122,죽은 신의 성기사 [독점],판타지,초매,(2023.05.30.),(2024.06.27.),472,"12,566",157,9.8
123,배드 본 블러드 [독점],판타지,백수귀족,(2023.10.24.),(2024.06.27.),241,"8,015",164,9.5
124,게임 속 하급 신이 되었다 [독점],판타지,이한이,(2023.11.14.),(2024.06.27.),246,"1,078",12,9.1
125,엔딩 이후 기사로 사는 법 [독점],판타지,sayren,(2024.01.23.),(2024.06.27.),204,"3,538",19,9.1
126,몬스터 꽃이 피었습니다 [독점],판타지,WATERS,(2024.04.23.),(2024.06.27.),69,175,13,8.8
127,무당파 천재 막내제자 [독점],무협,신랑,(2023.05.23.),(2024.06.27.),367,"2,453",17,9.0
128,예술고 천재의 음악은 특별해야 합니다 [독점],현판,홍비,(2023.08.01.),(2024.06.27.),303,"2,067",28,9.6
129,사천당가의 장녀는 가문을 지킨다 [독점],로판,담화담,(2023.09.08.),(2024.06.27.),232,"2,335",42,9.8
130,중간보스의 심복으로 살아남기 [독점],판타지,여유의빛,(2023.10.31.),(2024.06.27.),211,"2,290",35,9.6
131,마(魔)의 걸음은 무겁다 [독점],무협,검게빛남,(2024.02.20.),(2024.06.27.),197,100,4,8.8
132,랭커들의 스승이 되었습니다 [독점],현판,정혜성,(2024.03.12.),(2024.06.27.),153,228,5,8.9
133,마계에서 귀환한 망나니,판타지,천상아,(2023.06.15.),(2024.06.27.),385,25,2,9.2
134,당신을 사랑하는 윈프린턴 [선공개],로판,이리내,(2024.05.15.),(2024.06.27.),111,19,4,9.1
135,머릿속에 천마가 박제됨 [독점],판타지,찰하리,(2023.08.22.),(2024.06.27.),313,"1,823",9,9.0
136,창룡군림 [독점],무협,북미혼,(2023.09.26.),(2024.06.27.),291,"2,175",18,7.7
137,나 혼자 히든농장 [독점],현판,한얼23,(2023.10.24.),(2024.06.27.),234,"1,093",33,9.4
138,휘슬블로어 [독점],현판,유월,(2024.01.02.),(2024.06.27.),170,315,30,9.5
139,여동생이 첫사랑이었다 [독점],현판,가을입니다,(2024.03.26.),(2024.06.27.),146,"1,913",19,8.6
140,역대급 깽판 플레이어 [독점],판타지,파추,(2023.06.27.),(2024.06.27.),258,183,18,8.3
141,폐급 여신님의 사도 [독점],판타지,덴티스티,(2024.02.06.),(2024.06.27.),159,124,6,9.3
142,설국천마 [독점],무협,이상효,(2024.04.16.),(2024.06.27.),82,36,2,8.2
143,팽가무신 [무료연재],무협,요스리,(2024.06.11.),(2024.06.27.),26,37,6,8.6
144,"폐하, 연모하니 죽음을 주세요",로판,김시모,(2024.06.07.),(2024.06.27.),114,587,30,9.7
145,불과 화약이 입 맞추듯이 [독점],로판,안데르센러브,(2024.06.19.),(2024.06.27.),85,15,3,9.7
146,한계 찢는 천재마법사 [독점],판타지,얼음초코,(2022.06.29.),(2024.06.27.),617,"9,632",80,9.5
147,무련전봉 [독점],무협,막묵,(2021.11.24.),(2024.06.27.),1879,"1,569",24,9.3
148,아빠가 천재였다 [독점],현판,운좋은놈,(2023.12.19.),(2024.06.27.),207,215,2,8.8
149,돈 쓸어담는 장사의 신 [독점],현판,아셀,(2024.03.26.),(2024.06.27.),119,111,4,9.1
150,멸망에서 돌아온 회귀자 [독점],판타지,녹차티,(2024.04.09.),(2024.06.27.),89,35,3,6.5
151,회장님의 신입생활 [독점],현판,임플로이,(2024.05.07.),(2024.06.27.),61,41,5,8.8
152,소드마스터가 아이돌을 잘함 [무료연재],현판,태일,(2024.06.18.),(2024.06.27.),19,40,4,9.3
153,망겜 속 히든 캐릭터가 되었다 [무료연재],판타지,악어뿔,(2024.06.25.),(2024.06.27.),12,21,3,9.4
154,엔딩 없는 세계의 엔딩 메이커 [독점],판타지,글가루,(2023.03.14.),(2024.06.27.),108,183,13,9.1
155,남궁세가의 제천대성 [독점],무협,밀렵,(2023.04.11.),(2024.06.27.),420,"8,944",109,9.6
156,용사가 죽지 않음 [독점],판타지,군만두,(2023.12.26.),(2024.06.27.),179,160,좋아요,8.1
157,지옥에서 돌아온 천재 작가 [독점],현판,매운도사,(2024.02.06.),(2024.06.27.),152,249,4,8.5
158,게임 속 교관이 되었다 [독점],무협,다다름,(2024.02.13.),(2024.06.27.),161,248,6,9.3
159,후회 안 하는 프로듀서 [독점],현판,하나호,(2021.04.28.),(2024.06.27.),1033,"60,397",245,9.0
160,내가 제일 잘나가는 재벌이다 [독점],현판,봉황송,(2023.08.22.),(2024.06.27.),365,"2,159",37,9.2
161,편의점24 종말의 탑 1호점 [독점],판타지,갯장어,(2023.12.05.),(2024.06.27.),198,"1,692",7,9.1
162,편의점24 종말의 탑 1호점 [독점],판타지,갯장어,(2023.12.05.),(2024.06.27.),198,"1,692",7,9.1
163,최종보스 잡고 게임 속 죄수 [독점],판타지,by아말하,(2024.02.06.),(2024.06.27.),173,697,5,8.7
164,환영받지 못한 아이돌에게 축복을 [독점],현판,숫눈,(2024.03.12.),(2024.06.27.),173,461,2,9.4
165,아카데미 속 엑스트라들의 우두머리가 되었다 [독점],판타지,우주몽,(2023.05.02.),(2024.06.27.),305,171,4,6.5
166,상대적 자본주의 영주님 [독점],판타지,주절뱅이,(2023.09.19.),(2024.06.27.),238,186,7,8.1
167,사회면 진출할 망할 아이돌 그룹을 탈퇴하겠습니다 [독점],현판,테그,(2024.03.12.),(2024.06.27.),147,210,2,8.9
168,후회물 남주를 잘못 훈육해버렸다 [독점],로판,페릴,(2024.04.27.),(2024.06.27.),99,55,좋아요,8.6
169,왜 이제 와서 이래 [독점],로판,랑퀸,(2024.05.02.),(2024.06.27.),117,"3,372",27,8.5
170,수호기사는 주군을 지키지 못했다 [독점],판타지,글쓰는손,(2024.05.14.),(2024.06.27.),54,179,13,8.6
171,퀘스트 보상이 균열인 게 말이 돼요?,로판,마하야,(2023.07.14.),(2024.06.27.),293,215,14,9.8
172,망겜 속 황태자가 아이돌을 잘함 [독점],현판,B2K,(2023.07.11.),(2024.06.27.),324,"3,816",68,9.8
173,던전에서 초월급 인공지능을 주웠다 [독점],현판,박현수,(2023.12.05.),(2024.06.27.),224,108,4,7.9
174,대자연을 삼킨 드루이드 [독점],판타지,유제하,(2024.03.12.),(2024.06.27.),153,515,15,9.4
175,드래곤들이 내게 집착한다 [독점],로판,수밀도향,(2024.03.29.),(2024.06.27.),164,11,6,8.6
176,오버히트,판타지,김소울,(2024.03.25.),(2024.06.27.),130,3,6,10.0
177,구원의 손길이 내 목을 움켜쥐면 [선공개],로판,백서하,(2023.08.23.),(2024.06.27.),239,325,13,9.6
178,미친 개의 주인이 되면 [독점],로판,달수정,(2024.04.10.),(2024.06.27.),136,73,11,8.3
179,19금,19금,19금,19금,19금,19금,19금,19금,19금
180,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,(2023.10.07.),(2024.06.27.),432,"1,631",83,9.3
181,단역 최애캐를 살리고싶다 [독점],판타지,양훈,(2023.12.19.),(2024.06.27.),200,371,20,9.2
182,던전에서 목욕탕 한다 [독점],판타지,펀치드렁크,(2024.03.19.),(2024.06.27.),146,61,2,8.4
183,마교대공,무협,남운,(2024.06.27.),(2024.06.27.),232,0,좋아요,0.0
184,만능사원 전설이 되다,현판,제이로빈,(2022.04.11.),(2024.06.27.),268,549,10,9.3
185,단종으로 플레이한다,판타지,다물,(2024.02.26.),(2024.06.27.),260,106,2,7.6
186,현세계 정복하는 조선의 공돌이 장영실,현판,장호(章淏),(2024.03.26.),(2024.06.27.),233,37,3,9.8
187,사채왕의 손자,현판,애스크,(2024.05.17.),(2024.06.27.),64,1,3,8.0
188,세계선급 성좌에게 선택받은 주인공,현판,홍시은,(2023.07.11.),(2024.06.27.),392,16,좋아요,4.0
189,혹사해서 성장하는 천재 미드필더!,현판,김태왕,(2023.09.07.),(2024.06.27.),330,56,좋아요,7.3
190,천화요몽,로맨스,단인(壇忍),(2024.01.02.),(2024.06.27.),309,4,4,10.0
191,"카델, 미지의 섬",현판,DI귿,(2024.04.09.),(2024.06.27.),198,11,좋아요,7.8
192,평화로운 세상,판타지,판타지해인,(2024.04.25.),(2024.06.27.),211,15,1,6.8
193,능력흡수로 무한성장,현판,가늘비,(2024.06.27.),(2024.06.27.),114,0,좋아요,8.9
194,불사조의 정원,현판,K.석우,(2023.10.25.),(2024.06.27.),306,166,4,8.2
195,마교에서 도망친 천마,무협,단산자,(2024.01.18.),(2024.06.27.),255,20,1,8.4
196,무림진격,무협,홍정표,(2024.03.21.),(2024.06.27.),210,1,좋아요,7.6
197,대막리지 연개소문,판타지,송명관,(2024.05.23.),(2024.06.27.),165,47,2,7.5
198,건달이 각성하면 벌어지는 일,현판,널향달,(2024.01.25.),(2024.06.27.),250,13,2,7.3
199,몰락한 남작가의 창술천재 [독점],판타지,섬에서,(2024.04.23.),(2024.06.27.),75,42,6,8.3
200,삼국지-태평비술전,판타지,푸달,(2024.06.27.),(2024.06.27.),204,0,좋아요,0.0
201,무기 키우는 플레이어 [독점],현판,유다,(2024.02.27.),(2024.06.27.),151,96,좋아요,6.9
202,S급 짐꾼의 슬기로운 성좌 사냥 생활 [독점],판타지,SIDCROSS,(2024.04.02.),(2024.06.27.),106,261,8,9.0
203,재해급 암살자가 해방됐다 [독점],판타지,이등별,(2024.04.09.),(2024.06.27.),132,981,19,9.2
204,검 먹는 소드마스터 [독점],판타지,진범,(2024.04.16.),(2024.06.27.),131,558,7,8.9
205,인간이 종족을 숨김 [무료연재],판타지,야명,(2024.06.04.),(2024.06.27.),33,228,7,8.2
206,난파 [독점],로맨스,서사희,(2024.06.03.),(2024.06.27.),98,886,31,8.9
207,이 종말이 내 탓? [독점],현판,최우진,(2023.10.03.),(2024.06.27.),274,453,1,7.5
208,서울역 바바리안 [독점],판타지,진설우,(2023.11.28.),(2024.06.27.),237,919,11,8.8
209,첫 번째 빙의자가 다시 쓰는 해피엔딩 [독점],판타지,에선티플,(2024.02.20.),(2024.06.27.),138,65,8,7.1
210,회귀무신 [독점],무협,한얼23,(2022.06.29.),(2024.06.27.),565,"1,557",28,9.2
211,무협개국 만급신공 [독점],무협,낙백적소순결,(2023.06.06.),(2024.06.27.),785,562,4,7.5
212,아이돌이지만 등선하겠습니다 [독점],현판,파울리,(2023.11.07.),(2024.06.27.),221,833,21,9.4
213,천 년 만에 먼치킨 [독점],판타지,구유,(2024.01.09.),(2024.06.27.),230,"2,477",28,7.8
214,검신의 게임방송 [독점],판타지,이터널,(2022.11.16.),(2024.06.27.),416,763,12,7.7
215,회귀한 용병은 다 계획이 있다 [독점],판타지,골드행,(2022.11.16.),(2024.06.27.),538,"6,202",42,9.0
216,내 상태창이 파업했다 [독점],현판,의현su,(2023.05.02.),(2024.06.27.),258,"1,417",9,8.5
217,축구천재는 주목받고 싶다 [독점],현판,TALPA,(2023.10.31.),(2024.06.27.),258,"3,041",26,8.9
218,현질무신 [독점],무협,시저디,(2024.01.23.),(2024.06.27.),216,"1,940",20,9.0
219,후회남을 맛있게 요리하는 세 가지 방법 [독점],로판,사하람,(2024.05.10.),(2024.06.27.),142,108,16,9.7
220,친일파인데 독립운동합니다 [독점],판타지,루스차일드,(2024.03.26.),(2024.06.27.),131,156,7,7.9
221,황제가 별궁에 숨겼던 것 [선공개],로판,백신해,(2024.06.26.),(2024.06.27.),81,1,좋아요,9.4
222,오늘만 사는 기사 [독점],판타지,소울풍,(2023.02.14.),(2024.06.27.),465,"22,736",324,9.8
223,아카데미의 신화 계승자 [독점],현판,해Fe,(2024.04.02.),(2024.06.27.),133,70,4,8.6
224,빙의자는 사랑받는 우주속에서,판타지,ivuy,(2024.04.15.),(2024.06.27.),291,72,1,9.1
225,성기사 가문의 천재 흑마법사가 되었다 [무료연재],판타지,뜨끈아이스,(2024.06.11.),(2024.06.27.),26,38,7,8.6
226,"꿇어보세요, 대공님! [독점]",로판,재겸,(2024.06.24.),(2024.06.27.),88,277,16,9.5
227,전생이 천재 대장장이였다 [무료연재],판타지,최달해,(2024.06.25.),(2024.06.27.),12,27,3,9.6
228,"강, 한 비서 [독점]",로맨스,혜안慧眼,(2024.05.17.),(2024.06.27.),109,55,4,9.9
229,19금,19금,19금,19금,19금,19금,19금,19금,19금
230,19금,19금,19금,19금,19금,19금,19금,19금,19금
231,검술 천재가 마나를 숨김 [독점],판타지,늬파랑,(2024.01.16.),(2024.06.27.),201,192,4,7.6
232,"약속했잖아요, 이산하 씨! [독점]",현판,송장벌레,(2024.03.19.),(2024.06.27.),138,693,11,9.7
233,리부트 : 형이 힘을 숨김,현판,용용드래곤,(2024.03.22.),(2024.06.27.),184,305,3,9.4
234,본인 방금 성좌 되는 꿈 꿨음 [독점],현판,검이란,(2024.04.30.),(2024.06.27.),68,112,22,8.5
235,19금,19금,19금,19금,19금,19금,19금,19금,19금
236,2회차 검사가 살아가는 법 [독점],현판,강로,(2023.10.10.),(2024.06.27.),271,827,18,8.9
237,멸망한 세계의 취사병 [독점],현판,마일드커피,(2022.11.30.),(2024.06.27.),496,"14,444",127,8.9
238,시한부 천재 암흑기사 [독점],판타지,정선율,(2022.06.08.),(2024.06.27.),249,"11,113",340,9.1
239,혼자 다 해 먹는 천재 암살자 [독점],판타지,MOZO,(2022.10.12.),(2024.06.27.),543,"7,232",89,9.7
240,목욕탕 사장이 게이트를 숨김 [독점],현판,김봉봉,(2023.10.17.),(2024.06.27.),299,"1,891",14,9.4
241,회귀검제의 아포칼립스 재정복 [독점],판타지,간식도둑,(2023.12.12.),(2024.06.27.),190,49,1,8.0
242,남궁세가의 귀한 딸로 환생해버렸다 [독점],로판,재이워니,(2024.04.26.),(2024.06.27.),124,234,21,9.5
243,용사는 마왕의 회귀를 모른다 [독점],판타지,Readoff,(2024.04.09.),(2024.06.27.),116,81,좋아요,9.1
244,19금,19금,19금,19금,19금,19금,19금,19금,19금
245,19금,19금,19금,19금,19금,19금,19금,19금,19금
246,나만 아는 히든 엔딩 [독점],판타지,에쏘,(2023.11.21.),(2024.06.27.),207,14,2,7.4
247,악신의 총애를 받는 성직자가 되었다 [독점],판타지,민초피자,(2024.05.07.),(2024.06.27.),61,67,3,8.7
248,월스트리트 천재의 시한부 투자법 [무료연재],현판,글망쟁이,(2024.06.04.),(2024.06.27.),33,424,10,9.5
249,짐승들을 너무 잘 키워버렸다 [단행본],로판,연제이,(2024.06.27.),(2024.06.27.),5,0,좋아요,0.0
