,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
3100,용사 아카데미의 망나니 [단행본],판타지,성검S,(2024.05.15.),(2024.05.15.),8,0,좋아요,0.0
3101,황보세가 천재 세공사,무협,묵묵히간다,(2023.12.20.),(2024.05.15.),143,73,좋아요,8.6
3102,시시콜콜한 비극에 대하여 [선공개],로판,sion,(2024.04.24.),(2024.05.15.),60,57,2,8.7
3103,천박한 결속 [독점],로맨스,백이듬,(2024.05.15.),(2024.05.15.),84,14,2,9.8
3104,19금,19금,19금,19금,19금,19금,19금,19금,19금
3105,19금,19금,19금,19금,19금,19금,19금,19금,19금
3106,19금,19금,19금,19금,19금,19금,19금,19금,19금
3107,평행세계의 대마법사 [단행본],현판,은판,(2024.05.15.),(2024.05.15.),9,0,좋아요,0.0
3108,첫사랑 수업 [단행본],로판,닷새datsae,(2024.05.15.),(2024.05.15.),7,0,좋아요,0.0
3109,내 소설은 망했다 [독점],판타지,아미캣,(2023.09.05.),(2024.05.15.),242,357,7,8.9
3110,불순 사제 [외전 포함][독점],로맨스,이리안,(2024.05.15.),(2024.05.15.),71,21,2,9.8
3111,노예부터 왕까지,판타지,후두마루,(2024.05.15.),(2024.05.15.),887,14,2,9.7
3112,용사 파티부터 시작하는 아이돌 생활,현판,미랑,(2024.05.15.),(2024.05.15.),298,3,좋아요,8.0
3113,19금,19금,19금,19금,19금,19금,19금,19금,19금
3114,경기당 1.12골의 괴물 스트라이커가 되었다.,현판,산타클라스,(2024.03.19.),(2024.05.14.),200,45,좋아요,8.9
3115,19금,19금,19금,19금,19금,19금,19금,19금,19금
3116,단종은 한명회가 필요해요,판타지,수호(秀昊),(2023.10.18.),(2024.05.14.),250,"1,071",5,9.0
3117,이드 [개정판],판타지,김대우,(2015.08.18.),(2024.05.14.),1480,"2,443","1,561",8.1
3118,혁명도 사업입니다,판타지,수팅스타,(2021.11.19.),(2024.05.14.),408,"1,471",8,9.5
3119,내가 죽인 흑막이 되살아났다,로판,김꽃분,(2024.03.01.),(2024.05.14.),150,117,2,9.6
3120,은퇴한 초인의 슬로우라이프,판타지,ROHRAN노란,(2023.11.22.),(2024.05.14.),225,"2,182",19,9.7
3121,이번 생엔 당신을 선택하겠어요 황태자님 [단행본],로판,에랑,(2024.05.14.),(2024.05.14.),5,0,3,0.0
3122,19금,19금,19금,19금,19금,19금,19금,19금,19금
3123,19금,19금,19금,19금,19금,19금,19금,19금,19금
3124,암흑인생 4회차 순애소년! 라ON 가다!,현판,silver구슬,(2024.02.08.),(2024.05.14.),141,8,1,9.9
3125,동네 약사는 전생 독마였다,판타지,김하시,(2024.05.14.),(2024.05.14.),153,37,좋아요,8.1
3126,뜨거운 제물,로맨스,세정,(2024.05.14.),(2024.05.14.),88,0,2,0.0
3127,"나, 원균이 되었다?! [단행본]",판타지,와우리을리,(2024.05.14.),(2024.05.14.),14,0,좋아요,0.0
3128,치트키를 물려 받은 천재감독 [단행본],현판,천달,(2024.05.14.),(2024.05.14.),10,0,좋아요,0.0
3129,응애 모드로 우주 최강자 [단행본],판타지,볼트맨형님,(2024.05.14.),(2024.05.14.),20,0,좋아요,0.0
3130,신과 함께 회귀한 성기사 [독점],판타지,뱀오니,(2023.10.03.),(2024.05.14.),203,68,19,9.1
3131,불온한 파트너십 [독점],로맨스,아라휘,(2023.11.08.),(2024.05.14.),159,993,5,9.3
3132,트로츠키와 우리 조선 빨갛게 빨갛게 [단행본],판타지,간다왼쪽,(2024.05.14.),(2024.05.14.),13,0,좋아요,0.0
3133,나는 재벌집 청소부 [단행본],현판,버저비터,(2024.05.14.),(2024.05.14.),10,0,좋아요,0.0
3134,19금,19금,19금,19금,19금,19금,19금,19금,19금
3135,19금,19금,19금,19금,19금,19금,19금,19금,19금
3136,19금,19금,19금,19금,19금,19금,19금,19금,19금
3137,다시 태어나도 심하게 잘 만듦 [단행본],현판,shoro,(2024.05.14.),(2024.05.14.),8,0,좋아요,0.0
