,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
1048,1931 흡혈마전,로맨스,김나경,164000,462,30,2004-12-20,2004-12-20,9.5
1049,검사님의 보육일지,로맨스,초연(서아람),1859,0,5,2024-10-20,2024-10-20,10.0
1050,SF 위크,로맨스,"강현,김다민,송은우,이멍,이수진,정선오,지은담",15000,458,40,2025-08-20,2031-08-20,9.8
1051,살인자에게,로맨스,김선미,812,1,2,2029-04-20,2029-04-20,10.0
1052,반전이 없다,로맨스,조영주,583,2,2,2024-04-20,2024-04-20,6.0
1053,게임을 제안하겠습니다,로맨스,하람,1442,10,3,2022-04-20,2022-04-20,10.0
1054,길동의 나라,로맨스,라은,12000,24,74,2002-01-20,2023-02-20,10.0
1055,무지개의 정원사,로맨스,이우혁,1111000,4085,156,2030-04-18,2007-03-19,9.5
1056,미남당 사건 수첩,로맨스,정재한,2721000,6451,40,2027-06-22,2012-04-18,9.8
1057,경성탐정록,로맨스,한동진,841000,1226,112,2025-06-17,2010-09-17,9.9
1058,지옥도,로맨스,박한진,343000,707,25,2004-06-17,2004-06-17,9.8
1059,오프 더 레코드,로맨스,무정영,659000,1638,38,2014-05-17,2014-05-17,9.9
1060,동해,로맨스,유호,99000,57,60,2014-12-16,2014-12-16,9.9
1061,어른 소녀,로맨스,김지은,955000,1275,91,2030-11-16,2014-03-18,9.8
1062,혈맥(The Iron Vein) 3부,로맨스,타사우프,167000,27,560,2002-05-16,2002-05-16,10.0
1063,레드 트라이엄프,로맨스,유호,49000,17,30,2002-09-15,2002-09-15,10.0
1064,두 개의 태양,로맨스,유호,735000,318,60,2030-06-15,2030-06-15,9.7
1065,북미전쟁,로맨스,안종선,74000,314,300,2011-03-14,2002-07-14,10.0
1066,독도를 지켜라,로맨스,두드리자,51000,18,150,2029-01-14,2005-03-14,9.1
1067,0골드로 시작하는 악녀 생활,로맨스판타지,겨울잎,1663000,1218,96,2024-06-24,2026-06-24,9.8
1068,마론 후작,로맨스판타지,자야,49246000,48000,378,2007-07-23,2018-06-24,10.0
1069,진짜 가주는 나였다,로맨스판타지,파란맛솜사탕,16819000,15000,217,2008-08-20,2021-06-24,9.9
1070,시한부를 즐겼을 뿐이었는데,로맨스판타지,다나,15105000,12000,212,2022-12-21,2021-06-24,9.9
1071,몰락 세가의 시한부 영약,로맨스판타지,프리드리히,41572000,39000,494,2010-03-22,2026-06-24,10.0
1072,아이돌 성녀님,로맨스판타지,모예리,92000,189,90,2026-06-24,2026-06-24,9.8
1073,빙의자를 위한 특혜,로맨스판타지,이린비,93719000,125000,543,2016-04-21,2008-06-24,10.0
1074,악녀인데 하트 받아버렸다,로맨스판타지,주해온,3581000,2393,113,2031-05-24,2026-06-24,8.9
1075,남궁세가 손녀딸의 귀환,로맨스판타지,The eun,22224000,12000,272,2004-11-23,2026-06-24,9.9
1076,황제와 비밀 연애 중인데 나는 그걸 몰라,로맨스판타지,베킷,4147000,2648,113,2005-06-24,2026-06-24,9.7
