,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
0,마법을 품다,판타지,양강,3112000,1100,131,2005-06-24,2026-06-24,9.6
1,천재 궁수의 스트리밍,판타지,멍멍킴,200000000,152000,979,2009-02-21,2026-06-24,9.9
2,변경백 서자는 황제였다,판타지,기준석,93916000,105000,812,2017-11-21,2026-06-24,10.0
3,마법학교 마법사로 살아가는 법,판타지,글쓰는기계,180000000,167000,1075,2017-08-21,2026-06-24,9.9
4,달빛조각사: 아빠는 전설이다,판타지,남희성,9565000,6723,125,2007-12-23,2025-06-24,9.5
5,환생한 암살자는 검술 천재,판타지,글개미,280000000,134000,948,2029-09-21,2026-06-24,9.8
6,템빨,판타지,박새날,1180000000,638000,2060,2008-12-14,2026-04-24,9.6
7,역대급 올마스터의 회귀,판타지,연이요,14210000,4020,147,2022-04-24,2026-06-24,9.4
8,2레벨로 회귀한 무신,판타지,염비,170000000,62000,721,2022-06-21,2010-05-24,9.4
9,각성 전부터 네크로맨서,판타지,봉인해제,916000,361,300,2005-02-24,2022-05-24,9.7
10,블랙기업조선,판타지,국뽕,57140000,42000,1207,2026-05-20,2026-06-24,9.6
11,나 혼자만 레벨업 : 라그나로크,판타지,다울,58889000,28000,238,2010-04-23,2026-06-24,9.7
12,일인 군단이 된 천재 신궁,판타지,신율,967000,254,320,2014-05-24,2014-05-24,9.5
13,다크 판타지의 망캐가 되었다,판타지,서홍,36919000,41000,636,2008-11-21,2026-06-24,9.9
14,네크로맨서 학교의 소환천재,판타지,일제사격,170000000,144000,1225,2020-08-20,2026-06-24,9.7
15,마법학교 앞점멸 천재가 되었다,판타지,은밀히,24671000,26000,552,2022-02-21,2026-06-23,9.7
16,돈지랄 네크로맨서,판타지,키보드만세,13683000,7346,199,2029-02-24,2026-06-24,9.7
17,멸망한 세계의 4급 인간,판타지,외투,17681000,20000,249,2029-11-23,2026-06-24,9.8
18,판타지 세계 속 바바리안으로 살아가기,판타지,파란영,5865000,5132,204,2005-04-24,2026-06-24,9.6
19,천재 대장장이의 게임,판타지,박민규,35026000,16000,391,2030-10-23,2026-06-24,9.3
20,초월자의 채널을 구독했다,판타지,두파치타파,13718000,8475,379,2021-02-23,2019-09-23,8.9
21,검술명가 막내아들,판타지,황제펭귄,430000000,216000,1147,2022-02-19,2021-02-24,9.7
22,나 혼자만 레벨업,판타지,추공,460000000,166000,271,2017-02-17,2013-03-18,9.9
23,검신급 공무원의 회귀,판타지,자리,12619000,3348,338,2010-10-23,2026-06-24,9.4
24,백작가의 망나니가 되었다,판타지,유려한,170000000,308000,1112,2015-10-18,2026-06-24,10.0
25,회귀 후 마법 천재가 되었다,판타지,뉴노멀,11149000,3927,253,2031-05-23,2026-06-24,9.3
26,무한 회귀자인데 썰 푼다,판타지,신노아,10345000,12000,166,2029-04-24,2025-06-24,9.6
27,엑스트라가 너무 강함,판타지,김재한,63753000,58000,1271,2016-03-20,2026-06-24,9.8
28,달빛조각사,판타지,남희성,440000000,206000,1450,2030-08-13,2003-07-19,9.6
29,전설급 영웅은 아카데미 우등생,판타지,예로나,42429000,32000,730,2011-02-22,2026-06-24,9.7
30,회귀한 혈기사의 공략법,판타지,윤도진,3165000,1113,135,2016-05-24,2026-06-24,9.4
31,죽지 않는 천재 창잡이,판타지,신율,5910000,1922,193,2022-04-24,2026-06-24,9.5
32,룬의 아이들,판타지,전민희,41687000,98000,794,2019-05-18,2022-02-24,9.9
33,멸망급 데스나이트가 회귀함,판타지,오렌지망고,12842000,5882,271,2022-11-23,2026-06-24,9.4
34,불탄 사막의 모래술사,판타지,우각,12712000,4963,416,2016-11-23,2026-06-24,9.1
35,아카데미의 마피아가 되었다,판타지,씨즐,15746000,17000,709,2016-08-22,2026-06-24,9.9
36,공작가에는 미친개가 산다,판타지,판미손,9250000,5133,342,2006-09-23,2026-06-24,9.8
37,던전 안 푸드 트럭 사장님,판타지,설하,7058000,11000,312,2024-02-22,2026-06-24,9.6
38,열일하는 과금 기사,판타지,박건,35684000,74000,564,2023-12-20,2026-06-24,9.8
39,"내 아공간 속 던전 147,916,482,938개",판타지,lv121,4310000,1749,233,2008-01-24,2026-06-24,8.9
40,이 싸움을 끝내러 왔다,판타지,레드리프,20774000,18000,486,2022-08-22,2026-06-24,9.3
41,약먹는 천재마법사,판타지,글근육,31370000,43000,1144,2011-12-20,2024-06-24,9.8
42,"신의 천적, 회귀하다",판타지,애쉬레인,1685000,639,309,2005-01-24,2026-06-24,9.5
43,무한의 마법사,판타지,김치우,270000000,157000,1316,2025-02-16,2020-02-23,9.8
44,무신의 막내제자가 되었다,판타지,낙하산,24437000,17000,423,2021-02-23,2018-06-24,9.8
45,나 혼자만 무한 강화사,판타지,광어,2557000,1369,139,2010-05-24,2026-06-24,9.1
46,로그아웃이 너무 어렵다,판타지,이형석,3245000,2364,228,2006-02-24,2026-06-24,9.3
47,아카데미의 무기복제자,판타지,서쪽,15952000,18000,608,2024-02-22,2026-06-24,9.8
48,아카데미 악당으로 살아남는 법,판타지,서광(徐光),1082000,1071,122,2013-05-24,2026-06-24,8.8
49,삼국지 생존왕,판타지,조경래,7992000,9475,528,2020-07-22,2027-06-24,9.8
50,SSS급 죽어야 사는 헌터,판타지,신노아,120000000,97000,400,2009-05-19,2007-05-20,9.9
51,회귀한 천재 플레이어의 신화급 무기창조,판타지,홍아진,32084000,15000,586,2009-06-22,2026-06-24,9.6
52,신과 함께 레벨업,판타지,흑아인,140000000,60000,635,2024-10-19,2015-06-22,9.8
53,삼국지 맹달전,판타지,pioren,1369000,1380,291,2030-11-23,2026-06-24,9.0
54,고인물이 공략을 알려줌,판타지,꿀나무,1018000,765,122,2015-05-24,2026-06-24,9.5
55,신화급 네크로맨서가 되었다,판타지,웹중,140000,70,138,2028-05-24,2027-06-24,7.1
56,재앙급 영웅님이 귀환하셨다,판타지,산지직송,86453000,69000,509,2013-08-19,2005-02-22,9.9
57,크툴루 게임 속 천재 마법사가 되었다,판타지,귀한자식,12809000,18000,587,2029-12-22,2026-06-24,9.9
58,회귀자 사용설명서,판타지,흙수저,98140000,195000,1834,2001-12-17,2025-06-24,9.8
59,얼어붙은 플레이어의 귀환,판타지,제리엠,210000000,124000,642,2030-07-19,2024-12-21,9.9
60,진화 특성으로 최강 네크로맨서,판타지,짜빈동귀신,8627000,3602,415,2001-04-23,2001-04-23,9.4
61,전설급 귀환자가 살아가는 법,판타지,넉울히,11657000,4744,325,2005-09-23,2015-04-24,9.3
62,픽 미 업!,판타지,헤르모드,38063000,32000,400,2015-11-17,2022-02-23,9.9
63,내 인벤토리가 이상하다,판타지,시계열,58294000,47000,1025,2009-06-20,2023-06-24,9.7
64,삼국지 여포의 인생 시뮬레이터,판타지,회설화적호자,1319000,1258,493,2001-02-24,2027-06-24,9.6
65,디버프 마스터,판타지,담화공,200000000,126000,1325,2023-02-18,2002-08-21,9.7
66,이레귤러 감정사의 회귀,판타지,시르베르,4475000,1857,205,2019-02-24,2026-06-24,9.5
67,멸망급 무신의 귀환,판타지,꼬마돌,3050000,1245,148,2003-05-24,2026-06-24,9.2
68,전생자,판타지,나민채,140000000,91000,570,2029-12-17,2010-07-20,9.8
69,명가의 역대급 재능천재로 환생했다,판타지,플라이스,23118000,6801,594,2019-09-22,2026-06-24,9.7
70,이세계 지구의 마기 포식자,판타지,실렝,465000,175,120,2007-05-24,2026-06-24,9.3
71,숲의 종족 클로네,판타지,이환,8072000,11000,215,2016-10-23,2026-06-24,9.8
72,스킬빨로 레벨업,판타지,파란영,99106000,57000,622,2007-07-20,2026-07-23,9.9
73,검술 고인물의 게임방송,판타지,전송기,16726000,13000,385,2010-05-23,2026-06-24,9.8
74,재능만렙 플레이어,판타지,비츄,110000000,46000,690,2003-09-18,2023-10-20,9.5
75,던전 & 커맨더,판타지,현민,96840000,51000,2027,2008-04-16,2026-06-24,9.6
76,아포칼립스 판타지에서 살아남는 법,판타지,난중일기,1473000,852,146,2008-04-24,2027-06-24,9.4
77,귀환한 천재 농부가 사는 법,판타지,바람열매,3376000,1915,230,2022-02-24,2026-06-24,9.9
78,무공 천재의 헌터 라이프,판타지,사니풍산,5171000,1721,436,2004-04-23,2027-06-24,9.2
79,시종 가문 서자는 대마도사,판타지,꿈노래,4073000,1477,287,2009-02-24,2026-06-24,9.5
80,해골 병사는 네크로맨서가 되었다,판타지,골드바,4299000,2264,296,2001-11-23,2026-06-24,9.6
81,회귀했더니 무공 천재,판타지,윤도진,62634000,26000,705,2011-03-21,2021-08-23,9.4
82,게이트에 쉘터를 숨김,판타지,초과근무,1877000,981,253,2021-12-23,2008-06-24,9.3
83,괴식식당,판타지,메제드K,11207000,24000,1007,2026-09-20,2026-06-24,9.8
84,"영웅, 회귀하다",판타지,흑아인,120000000,52000,596,2030-05-17,2026-08-19,9.9
85,밥만 먹고 레벨업,판타지,박민규,270000000,153000,1443,2006-11-18,2027-08-22,9.8
86,명문고 EX급 조연의 리플레이,판타지,기월월,19411000,42000,1156,2006-02-20,2026-06-24,9.9
87,시간을 감는 대마법사,판타지,2차자아,3541000,2313,286,2022-11-23,2026-06-24,9.3
88,만 년 만에 귀환한 플레이어,판타지,나비계곡,220000000,186000,787,2003-07-18,2010-10-23,9.8
89,리더(Reader)-읽는 자,판타지,강철민,110000000,61000,579,2010-05-16,2005-04-18,9.5
90,"천재 게이머, 영웅명가에 환생하다",판타지,은밀히,8169000,3531,329,2010-08-23,2026-06-24,9.5
91,종말급 귀환자는 재앙을 먹는다,판타지,귀한,2810000,2714,165,2018-03-24,2026-06-24,9.7
92,언어의 주인이란,판타지,정보석(가을bee),13330000,30000,1022,2006-01-21,2026-06-24,9.8
93,회귀자의 메모장,판타지,지갑송,8778000,11000,342,2030-07-23,2026-06-24,9.7
94,성스러운 네크로맨서,판타지,"송장벌레, TLT",674000,527,123,2008-05-24,2026-06-24,9.5
95,매력 천재의 길드 매니지먼트,판타지,율무,4107000,8108,283,2018-10-23,2026-06-24,9.8
96,두 번 사는 랭커,판타지,사도연,330000000,146000,862,2016-10-17,2028-08-21,9.9
97,마법명가 차남으로 살아남는 법,판타지,자연주의,7461000,16000,494,2005-12-22,2026-06-24,9.9
98,회귀자가 다 만들어줌,판타지,마교졸개,16992000,12000,494,2012-08-22,2026-06-24,9.9
99,역대급 천재 랭커의 귀환,판타지,글나무,16498000,7092,334,2008-06-23,2023-05-24,9.1
100,회귀자의 보법이 너무 강함,판타지,붉닭E,1330000,518,123,2021-05-24,2027-06-24,9.0
101,지구식 구원자 전형,판타지,외투,3234000,4535,368,2014-12-23,2014-12-23,9.8
102,회귀자가 무공이 너무 강하다,판타지,재승,4713000,1335,300,2006-10-23,2027-06-24,8.9
103,만년종자가 사는 법,판타지,글럼프,5894000,7195,318,2020-09-22,2026-06-24,9.0
104,천재 흑마법사,판타지,노란커피,4237000,5842,785,2005-04-22,2029-03-24,9.9
105,공략집 든 이방인,판타지,배고픈판다,2191000,2448,277,2007-07-23,2013-05-24,9.6
106,사령왕 카르나크,판타지,임경배,10819000,10000,408,2022-12-22,2025-06-24,9.9
107,역대급 제작천재의 게임방송,판타지,수리부엉이,2202000,1190,193,2016-04-24,2026-06-24,9.5
108,내 특성이 너무 많음,판타지,악티늄K,15414000,6654,388,2002-11-22,2025-02-24,8.5
109,중간 보스의 소꿉친구가 되었다,판타지,시윤,11605000,17000,330,2029-11-21,2003-05-24,9.8
110,용을 삼킨 마법사,판타지,일황,23101000,12000,286,2015-03-21,2026-10-21,9.7
111,아기 용과 시골에서 힐링합니다,판타지,단열,751000,765,241,2026-01-24,2026-06-24,9.7
112,힐통령-태양의 사제,판타지,제리엠,52260000,38000,458,2021-07-17,2016-03-22,9.9
113,반월당의 기묘한 이야기,판타지,정연,3372000,5488,298,2014-04-22,2029-05-24,10.0
114,전생 2회차 9클래스 흑마법사,판타지,오리튼튼,4040000,2440,303,2010-05-23,2025-06-24,9.4
115,환생한 영주가 검술도 천재인데 마법까지도 잘 씀,판타지,오천광,1031000,468,168,2009-04-24,2027-06-24,8.9
116,31번째 말은 게임판을 뒤엎는다,판타지,왕모찌,30262000,31000,589,2030-11-20,2014-07-23,9.9
117,올 마스터는 쉬고 싶다,판타지,청송(靑松),922000,700,154,2013-03-24,2026-06-24,9.6
118,이미 한 번 망하고 왔습니다,판타지,은솔나래,396000,117,132,2020-05-24,2026-06-24,9.2
119,초월급 천재 소환사로 귀환했다,판타지,우림,4839000,2702,315,2007-11-23,2026-06-24,9.7
120,잠만 자도 랭커,판타지,워럭,44154000,33000,743,2023-05-18,2026-06-24,9.7
121,아공간으로 인생 대박,판타지,연이요,2644000,1601,204,2026-04-23,2015-01-24,9.4
122,회귀했더니 무인이 되었다,판타지,난r2,3450000,1117,237,2026-12-23,2027-06-24,8.9
123,성황의 아이들,판타지,카페인나무s,11808000,23000,481,2016-02-22,2026-06-24,9.9
124,무한전생-아서 허트,판타지,광악,696000,1582,202,2018-02-24,2026-06-24,9.8
125,무공으로 레벨업하는 마왕님,판타지,아이박슨,41775000,27000,725,2023-01-20,2022-11-23,9.6
126,아카데미 최약체 헌터의 사생활,판타지,소신,165000,158,116,2023-05-24,2027-06-24,9.4
127,귀환한 마신은 만렙 플레이어,판타지,소해현,12175000,4164,450,2007-09-22,2026-06-24,9.2
128,문효! 세계를 경영하다,판타지,천지무천,7489000,3315,420,2005-01-23,2025-06-24,8.9
129,귀환 후 던전 편의점,판타지,시공전사,3549000,2254,186,2028-02-24,2026-06-24,8.2
130,너네 스킬 다 내꺼!,판타지,김단풍,38894000,36000,1163,2004-12-19,2025-06-24,9.7
131,"조선, 혁명의 시대",판타지,태사령,8914000,14000,876,2025-11-19,2025-06-24,9.6
132,철혈검가 사냥개의 회귀,판타지,레고밟았어,69987000,83000,500,2029-02-20,2001-06-21,8.7
133,"사천당문의 독공천재, 아카데미에 환생하다",판타지,소영이아빠,1262000,620,145,2001-05-24,2027-06-24,8.5
134,엑스트라 왕자는 세계정복을 시작한다,판타지,일계,5845000,4845,407,2021-11-22,2009-03-24,9.8
135,망겜의 외노자,판타지,게살피자,1771000,2652,217,2024-01-24,2026-06-24,9.6
136,전생의 프로가 꿀 빠는 법,판타지,송수하,160000000,85000,772,2027-01-17,2018-02-20,9.8
137,뽑기하는 마왕님,판타지,왕모찌,1666000,1666,212,2030-01-24,2026-06-24,9.7
138,조선대혁명,판타지,다물,16973000,9669,1175,2030-06-14,2005-06-16,4.9
139,시한부 단장은 레이드를 성공시킨다,판타지,글공대장,6120000,13000,713,2023-10-21,2026-06-24,9.9
140,만렙 플레이어의 100번째 회귀,판타지,킹소다,17584000,11000,425,2016-09-21,2028-02-24,9.2
141,행운빨로 레벨업,판타지,글포터,9846000,4690,340,2027-01-23,2008-12-23,9.3
142,뽑기로 강해진 10성급 플레이어,판타지,삼편잡가,75308000,60000,599,2030-04-20,2020-05-24,9.7
143,"충왕전의 고인물, 초월급 사마귀로 회귀하다",판타지,이우찬,4442000,3139,392,2001-06-23,2026-06-24,9.6
144,내 분신이 거물이 되어간다,판타지,실험샘플,1357000,2520,556,2020-04-23,2026-06-24,10.0
145,이세계 외과의사 허태호,판타지,경우勁雨,701000,414,230,2027-12-23,2006-02-24,9.9
146,망한 가문의 검술 천재가 되었다,판타지,소구장,7679000,6388,400,2017-04-22,2003-07-23,9.5
147,나는 될놈이다,판타지,글쓰는기계,220000000,128000,1826,2016-06-17,2016-01-22,9.9
148,전생자는 무결점 재능천재,판타지,쏭범,2558000,926,218,2022-01-24,2026-06-24,9.7
149,백작가의 방패는 왕국을 지킨다,판타지,품바,5723000,2115,372,2018-02-23,2007-02-24,9.4
150,영웅시대,판타지,이원호,14987000,5456,1462,2018-07-16,2026-06-24,9.3
151,검공가에 환생한 검제,판타지,메켄로,15887000,4941,300,2019-07-23,2021-03-24,9.3
152,개념 잡는 마법 천재,판타지,김정글,3921000,3019,327,2017-07-23,2014-06-24,9.8
153,다 가지고 귀환했다,판타지,호옹게,357000,110,159,2010-01-23,2001-02-23,9.5
154,이 가문의 미친놈은 나야,판타지,달필,6385000,4876,400,2001-06-23,2021-06-24,9.7
155,삼왕의 제자,판타지,가빈지,19125000,13000,525,2011-02-22,2017-08-23,9.5
156,8클래스 마법사의 회귀,판타지,류송,46395000,22000,341,2010-03-17,2023-02-22,9.8
157,터무니없는 스킬로 이세계 방랑 밥,판타지,에구치 렌,1366000,979,676,2015-05-20,2015-03-24,9.6
158,역천의 대한민국!,판타지,강바기,1084000,846,361,2030-10-23,2026-06-24,9.3
159,회귀했더니 드래곤의 힘을 얻었다,판타지,이우찬,5946000,2346,301,2020-11-21,2019-07-22,9.2
160,나 빼고 다 회귀자,판타지,토이카,23527000,19000,356,2007-04-22,2025-04-23,9.9
161,무한 인벤토리 들고 무한회귀,판타지,중원(衆員),65000,24,344,2017-06-24,2026-06-24,9.9
162,회귀한 마왕은 착하게 산다,판타지,배고픈판다,25364000,34000,628,2010-01-20,2001-04-22,9.8
163,헌터의 현대생활백서,판타지,Otello,666000,143,204,2022-04-22,2022-04-22,9.3
164,강철을 입은 천재,판타지,녹색여우,958000,1343,241,2017-11-23,2026-06-24,9.9
165,지옥에서 돌아온 성좌님,판타지,글쓰는기계,46814000,37000,573,2019-08-20,2028-11-21,9.9
166,엔딩메이커,판타지,취룡,9007000,12000,474,2007-02-20,2030-09-22,9.9
167,암살검가 로이넨,판타지,김섬섬,8507000,7794,469,2020-04-22,2026-06-24,9.5
168,에필로그가 찾아온다,판타지,기제,2020000,3125,269,2007-01-24,2026-06-24,9.6
169,마탄의 사수,판타지,이수백,260000000,125000,2128,2016-04-18,2022-07-22,9.4
170,아카데미 속 SSS급 일인군단,판타지,퀘이사,2184000,1072,276,2013-11-23,2027-06-24,9.4
171,마왕을 죽였다. 실수였다.,판타지,박루트,1780000,1945,212,2019-02-24,2026-06-24,9.6
172,명군이 되어보세!,판타지,슈타인호프,9957000,17000,2141,2001-10-18,2026-06-24,9.5
173,1592 모두가 꿈꾼 제국,판타지,저스티츠,844000,866,404,2017-08-23,2026-06-24,9.9
174,소드마스터의 환생,판타지,파란영,6842000,3056,206,2022-03-19,2022-03-19,9.8
175,천재 올 마스터의 귀환,판타지,천화s,9977000,3007,315,2005-10-22,2024-06-24,9.1
176,회귀한 엑스트라가 천재가 됨,판타지,텍골,40113000,37000,536,2016-09-20,2008-08-22,9.8
177,유성검가의 망나니로 살아남는 법,판타지,Equipment,2023000,896,175,2020-03-24,2026-06-24,9.2
178,역대급 - 역대+급 플레이어,판타지,양강,20537000,9443,376,2002-09-16,2026-05-17,9.2
179,소설 속 네크로맨서는 뼈를 줍는다,판타지,그루밤,3357000,2543,241,2023-08-23,2025-06-24,9.5
180,회귀한 흑마도사는 신성 천재,판타지,낼쉬드,759000,1041,175,2014-02-24,2026-06-24,9.7
181,해골만 소환해도 너무 강함,판타지,지타,3590000,2027,374,2015-09-23,2026-06-24,9.0
182,아포칼립스의 귀환기사,판타지,킹메이커,3153000,2951,267,2015-05-23,2025-06-24,9.5
183,0.0000001%의 마왕님,판타지,파란영,11395000,13000,221,2001-03-19,2027-02-20,9.9
184,로그인 사이코패스,판타지,XxEx,656000,958,249,2016-10-23,2026-06-24,9.4
185,전직 랭커의 뉴비 생활,판타지,킹세바,3547000,3185,494,2011-11-22,2018-06-24,9.7
186,"1941, 작전명 : 열도 침몰",판타지,선우선사,544000,191,350,2004-08-23,2026-04-24,9.5
187,아포칼립스에서 세이브 포인트가 생겼습니다,판타지,만두대장,605000,261,140,2008-05-24,2026-06-24,8.1
188,책 먹는 마법사,판타지,메켄로,39311000,20000,427,2012-09-18,2022-10-18,9.8
189,짐꾼이었던 내가 마력이 무한?,판타지,1인5역,1365000,453,206,2021-07-23,2012-10-23,9.0
190,판타지 속 천재 기사로 살아가는 법,판타지,절필방지,5475,0,138,2026-06-24,2026-06-24,8.0
191,서브 남주가 파업하면 생기는 일,판타지,숙임,6200000,20000,920,2015-01-21,2026-06-24,10.0
192,주인공이 컨셉충이면 곤란한가요,판타지,해인설,16896000,46000,539,2015-03-22,2001-02-24,9.9
193,절대좌의 귀환,판타지,박민규,935000,197,225,2001-12-23,2001-12-23,8.3
194,신성모독의 외신 사제가 되었다,판타지,에온바드,6693,55,91,2025-06-24,2026-06-24,10.0
195,천재 플레이어가 되었다,판타지,제네럴K,3423000,3782,227,2002-07-21,2022-02-22,9.8
196,혼자 레벨업 합니다,판타지,신필,40465000,20000,589,2011-11-16,2023-04-18,8.8
197,갑질하는 영주님,판타지,장대수,68752000,55000,1075,2021-09-18,2010-05-22,9.8
198,1RM의 기간트 라이더,판타지,오늘도요,26535000,25000,292,2028-12-20,2006-09-21,9.5
199,환생 후 천하제일인이 되어 귀환했다,판타지,쏭범,5490000,2207,228,2004-10-22,2020-03-23,9.5
200,차원여행자는 미궁의 주인이 되었습니다,판타지,고서귀,1081000,618,250,2029-04-23,2017-10-23,9.1
201,마법학교 천재의 환상은 현실이 된다,판타지,자은,576000,470,165,2018-03-24,2026-06-24,9.6
202,악당은 살고 싶다,판타지,지갑송,13369000,15000,362,2006-04-21,2017-06-22,9.8
203,쏘지 마라 아군이다!,판타지,토이카,16051000,13000,301,2011-06-18,2019-11-18,9.9
204,삼국지 : 슬기로운 병영 생활,판타지,조작가R,603000,748,336,2008-06-23,2024-08-23,9.9
205,올 스킬 마스터,판타지,빈형,13572000,5791,250,2013-09-22,2025-02-23,9.4
206,삼국지 원가의 망나니 대공자,판타지,레니sh,157000,137,142,2030-04-24,2026-06-24,9.3
207,게임 속 마법사는 현실에서 보상받는다,판타지,고서귀,48000,4,223,2014-06-24,2026-06-24,9.8
208,이번 생은 황제로 살겠다,판타지,Stay,2609000,903,220,2018-03-23,2001-09-23,9.4
209,아카데미 속 발암캐가 되었다,판타지,리따이영,1911000,3074,344,2005-06-23,2026-06-24,9.7
210,나 혼자 회귀랭커,판타지,토생팬,2426000,891,199,2022-11-21,2006-12-21,9.5
211,전생하니 시어머니가 29명,판타지,간절히,1848000,4811,216,2017-06-22,2028-11-22,9.9
212,지옥에서 독식,판타지,코기베어,31113000,17000,346,2014-09-18,2023-06-19,9.4
213,서리명가 검술천재로 회귀했다,판타지,진유(眞鍮),7199000,3604,317,2022-08-22,2004-10-23,9.5
214,이 우주는 고인물이 필요해요,판타지,대형수상함,32000,13,200,2022-02-24,2028-02-24,10.0
215,삼국지 : 공손속이 누구야?,판타지,날여우,226000,87,300,2027-06-23,2013-10-23,9.1
216,데몬 소드,판타지,백수귀족,2530000,5365,241,2009-03-21,2010-09-21,9.9
217,먼치킨의 귀환 라이프,판타지,델리케,21377000,21000,277,2027-05-20,2008-04-21,9.8
218,혼술사 도로테아,판타지,세이료우,9957000,11000,330,2021-11-21,2026-06-23,9.9
219,귀환자의 마법은 특별해야 합니다,판타지,유소난,67732000,33000,338,2019-05-18,2024-11-23,9.8
220,대장장이는 네크로맨서가 되었다,판타지,투곰대디,18000,16,64,2012-06-24,2026-06-24,10.0
221,경험치가 계속 올라,판타지,호종이,5669000,3388,240,2002-07-18,2002-07-18,9.5
222,만마의 어머니,판타지,녹언,387000,604,182,2020-02-24,2026-06-24,9.9
223,총통께서 마도 사관학교를 독재하러 오셨다,판타지,섭생,282000,252,139,2026-03-24,2026-06-24,8.9
224,혼자 다 해 먹는 먼치킨,판타지,베데스,35371000,17000,391,2001-11-17,2001-08-18,9.8
225,미러월드:운명회귀,판타지,팔숨,6733000,9584,455,2017-09-21,2006-01-23,9.7
226,검신이 돌아왔다,판타지,김판,352000,88,175,2029-07-22,2031-08-22,9.8
227,멸망한 세계의 기억을 담아온 회귀자,판타지,카카비,4338000,4023,264,2003-06-22,2024-02-23,9.1
228,이세계 존버킹 생존좌,판타지,레드풋,113000,56,201,2020-12-22,2030-12-22,9.8
229,랭커의 귀환,판타지,영비람,190000000,81000,1002,2008-08-16,2014-10-19,9.9
230,검은 늑대,판타지,K.석우,87000,3,25,2021-03-23,2021-03-23,9.7
231,조선에는 쿠데타가 필요해요,판타지,앙금고라니,543000,1186,551,2020-11-23,2026-06-24,9.6
232,망겜 속 야만전사,판타지,보헴,1683000,2103,333,2003-04-23,2019-02-24,9.8
233,나 홀로 로그인,판타지,토이카,37682000,24000,260,2031-07-17,2016-01-18,9.8
234,무한 리셋 마법사,판타지,이르스,336000,552,201,2020-11-23,2003-05-24,9.8
235,만렙 농부의 무한 꿀파밍,판타지,유동우,4693000,5526,225,2006-07-20,2008-11-20,9.5
236,황룡의 비상,판타지,이윤규,767000,381,375,2031-05-19,2010-01-20,9.0
237,검술 명가의 마왕님,판타지,율무,10134000,8601,247,2009-08-21,2029-04-22,9.8
238,위저드 스톤,판타지,이경훈,4203000,9054,735,2008-08-16,2018-06-24,9.6
239,거래로 강해지는 헌터님,판타지,전정현,2681000,5304,221,2005-02-22,2024-06-22,9.2
240,소환사는 현질을 한다,판타지,고랭지,1168000,562,276,2019-08-22,2028-12-22,8.3
241,1217 고려 3군단,판타지,뜨락에,626000,366,354,2017-11-20,2017-11-20,9.1
242,강남 퇴마사,판타지,서인하,342000,504,175,2012-07-19,2012-07-19,9.8
243,쿠킹 로드,판타지,최재순,222000,203,216,2005-01-24,2026-06-24,9.6
244,만호에서 황제까지,판타지,암여파더,138000,29,300,2016-11-23,2028-02-24,9.0
245,최강 암살자가 듀얼 클래스로 귀환했다,판타지,공플이,2131000,1014,250,2019-03-22,2016-09-22,9.6
246,칭호를 빌려드립니다,판타지,비아크론,2518000,2848,276,2007-06-22,2025-02-23,9.8
247,단종이 너무 강함,판타지,탈닌,343000,261,226,2020-08-23,2023-08-23,9.9
248,괴물 같은 몬스터 마스터,판타지,펩티드,247000,44,285,2019-10-22,2019-10-22,9.8
249,흑막이지만 세계 평화가 소원입니다,판타지,쏜윗,15000,5,551,2010-06-24,2010-06-24,9.2
250,위대한 혈통의 천재 사생아,판타지,자동쓰기,251000,84,197,2008-09-23,2014-12-23,9.2
251,재벌에서 광복군까지,판타지,빛나는구름,326000,419,424,2016-10-23,2026-06-24,9.9
252,차원을 넘는 연금술사,판타지,Equipment,3994000,4499,300,2007-10-21,2011-08-22,9.6
253,미친 헌터가 너무 강함,판타지,글국,176000,32,245,2012-08-22,2029-08-22,9.4
254,대한제일검의 게임 스트리밍,판타지,후부키,47000,28,89,2027-05-24,2026-06-24,9.9
255,고려는 천조국이 되기로 하였습니다,판타지,소라게,61000,9,280,2026-03-24,2026-03-24,10.0
256,작전명 : 귀향,판타지,안민혁,881000,852,300,2017-01-20,2021-07-20,8.9
257,멸망한 세상 다 내꺼!,판타지,골든아공간,208000,205,225,2001-12-23,2018-02-24,9.2
258,공작가의 미친놈,판타지,유현s,4433000,3903,265,2015-06-22,2003-03-23,9.5
259,만석꾼,판타지,구사,1244000,613,258,2027-04-18,2027-04-18,9.8
260,대공가의 사생아가 검술을 훔침,판타지,아다따뚜겐,62000,212,189,2014-02-24,2020-05-24,10.0
261,패륜으로 시작하는 조선생활,판타지,고스름도치,185000,100,200,2019-01-24,2019-01-24,9.9
262,몰락명가에 환생한 재앙급 미친마법사,판타지,백연리,33000,71,68,2017-06-24,2027-06-24,9.9
263,"삼국지, 만인지적 장비로 빙의했다.",판타지,신지님,59000,7,282,2030-05-24,2009-06-24,9.8
264,왕자가 친구를 사귀는 방법,판타지,은비한,1888000,5173,357,2020-12-22,2003-06-24,10.0
265,몽골에서 유럽까지,판타지,Cheezy,970000,1488,370,2006-04-20,2011-12-20,9.3
266,이세계 플레이어,판타지,일황,20870000,12000,218,2030-10-17,2008-04-18,9.8
267,히틀러가 되었다,판타지,종이호랑이,595000,891,366,2025-10-23,2016-04-24,9.7
268,강화학개론,판타지,빈형,36614000,18000,363,2002-08-16,2024-03-17,9.8
