,제목,장르,작가,지수,현대판타지,판타지,무협,대체역사,퓨전,스포츠,드라마,로맨스,게임,전쟁·밀리터리,일반소설,SF
78,명군이 되어보세!,"대체역사,전쟁·밀리터리",슈타인호프,560460,False,False,False,True,False,False,False,False,False,True,False,False
79,낭만재벌 김민식,"현대판타지,판타지",오정,558150,True,True,False,False,False,False,False,False,False,False,False,False
80,돌팔이 의사 자크 지라르,"판타지,퓨전",담하이데,556650,False,True,False,False,True,False,False,False,False,False,False,False
81,무신연의 : 여포가 효도를 잘함,"퓨전,대체역사",별꽃라떼,556130,False,False,False,True,True,False,False,False,False,False,False,False
82,풍요의 여신과 천재 망나니 사도님,"판타지,퓨전",곰산타,556120,False,True,False,False,True,False,False,False,False,False,False,False
83,우주 무기가 너무 강함,"현대판타지,판타지",계란탁,554660,True,True,False,False,False,False,False,False,False,False,False,False
84,초대 콧수염 대마왕이 되었다,"대체역사,판타지",리첼렌,543230,False,True,False,True,False,False,False,False,False,False,False,False
85,역천의 대한민국!,"대체역사,전쟁·밀리터리",강바기,539580,False,False,False,True,False,False,False,False,False,True,False,False
86,천재 미드필더의 패스는 특별하다,"스포츠,현대판타지",역작s,539030,True,False,False,False,False,True,False,False,False,False,False,False
87,쓰나미도 피하는 위치선정 축구천재,"스포츠,현대판타지",계약직,536770,True,False,False,False,False,True,False,False,False,False,False,False
88,나는 이렇게 재벌이 되었다,"현대판타지,대체역사",푸달,520710,True,False,False,True,False,False,False,False,False,False,False,False
89,레벨업 하는 로그,판타지,글쟁이라떼,510910,False,True,False,False,False,False,False,False,False,False,False,False
90,각성이 멈추질 않는다,"현대판타지,퓨전",길마,503040,True,False,False,False,True,False,False,False,False,False,False,False
91,회귀한 전생자의 유유자적 재난 라이프,현대판타지,전혁,495030,True,False,False,False,False,False,False,False,False,False,False,False
92,마갑을 만드는 천재마법사,판타지,레드풋,494510,False,True,False,False,False,False,False,False,False,False,False,False
93,역대급 스피드의 축구천재,"스포츠,판타지",얼음강철,493670,False,True,False,False,False,True,False,False,False,False,False,False
94,"을미년, 민비 대신 고종이 죽었다",대체역사,이그드라시,489890,False,False,False,True,False,False,False,False,False,False,False,False
95,불행을 보는 재벌집 손자,현대판타지,유재무,468850,True,False,False,False,False,False,False,False,False,False,False,False
96,아포칼립스 장난감,"현대판타지,퓨전",눌프,468460,True,False,False,False,True,False,False,False,False,False,False,False
97,카이스트 천재는 재벌이 된다,"현대판타지,퓨전",지지지비,467230,True,False,False,False,True,False,False,False,False,False,False,False
