	제목	장르	작가	장르1	장르2
89	집구석 딸깍 힐러	현대판타지	광별	현대판타지	
90	돌아온 삼촌이 마왕이라는데요?	현대판타지,퓨전	김판	현대판타지	퓨전
91	성장률 999배 아공간을 얻었다	현대판타지,판타지	리슝	현대판타지	판타지
92	내 천직은 검은머리 CIA 국장	대체역사,현대판타지	치타리아	대체역사	현대판타지
93	하남자의 현금 사용법	판타지,현대판타지	째개	판타지	현대판타지
94	비선출이 MLB를 씹어먹음	스포츠	yt0709	스포츠	
95	무역재벌, 조선의 개혁군주가 되었다.	대체역사,퓨전	다물랑	대체역사	퓨전
96	회귀한 EX급 농사꾼이 종말을 찢음	판타지,현대판타지	필우(必遇)	판타지	현대판타지
97	수비형 유격수가 홈런을 잘 침	스포츠,현대판타지	콘푸레이크	스포츠	현대판타지
98	아빠가 갑자기 축구를 잘함	스포츠,현대판타지	스또리	스포츠	현대판타지
99	머신건 전봉준 총통	대체역사,전쟁·밀리터리	물연필	대체역사	전쟁·밀리터리
100	오스만 떡상 못 시키면 죽음	대체역사,전쟁·밀리터리	리라이트.	대체역사	전쟁·밀리터리
101	Mr. 할리우드!	현대판타지	트뤼포	현대판타지	
102	시한부 검사가 상태창을 숨김	현대판타지	기신	현대판타지	
103	내 영지에 혁명은 필요없다	판타지,퓨전	남극여우야	판타지	퓨전
104	시골 검성이 힘을 안 숨김	무협,판타지	사초™	무협	판타지
105	사파정점, 남궁으로 환생하다	무협,퓨전	공경	무협	퓨전
106	행운 1,500으로 선협 세계 빙의	무협,퓨전	아위로	무협	퓨전
107	곤륜환생	무협	설하랑	무협	
108	대한제국을 더 위대하게!	대체역사,퓨전	백약지장	대체역사	퓨전
109	6.25 후 부동산 재벌이 되었다	대체역사,판타지	투자인	대체역사	판타지
110	수선기담 신마분혼기 修仙奇談 神魔分魂記	무협,판타지	김상규	무협	판타지
111	천재 애니 감독은 미디어 재벌이 되기로 했다	현대판타지,대체역사	드림판다	현대판타지	대체역사
112	이혼하고 피지컬로만 S(EX)급 찍은 썰 푼다	현대판타지,퓨전	안신아	현대판타지	퓨전
113	EX급 귀농 라이프	현대판타지,무협	캡틴베어	현대판타지	무협
114	흙수저가 야구를 잘함	스포츠	완콥	스포츠	
115	귀농 후 재벌이 된 청년	현대판타지,판타지	악중선	현대판타지	판타지
116	프롤로그까지 30년 걸린 썰 푼다	판타지,퓨전	구스타몽	판타지	퓨전
117	알바생은 투자 천재	현대판타지	용은	현대판타지	
118	EX급 특성을 가진 초월급 헌터	현대판타지,판타지	완달	현대판타지	판타지
119	영주님이 이세계에 과학을 풀었다	판타지,퓨전	최뚝	판타지	퓨전
120	S급 각성자가 E급으로 등록됨	현대판타지	수년필	현대판타지	
121	환생도마	무협,판타지	조가치	무협	판타지
122	염라귀환	무협,판타지	십사센	무협	판타지
123	기갑 아포칼립스의 회귀자	퓨전,현대판타지	고머	퓨전	현대판타지
124	절멸급 스탯포식자가 다 씹어먹음	퓨전,현대판타지	그림자별	퓨전	현대판타지
125	외계인으로 꿀빠는 투수	현대판타지,스포츠	유나파파	현대판타지	스포츠
126	진짜 재벌 사위로 살겠다	현대판타지,드라마	건쇼	현대판타지	드라마
127	로또 1등도 글을 씁니다	현대판타지	에단.	현대판타지	
128	회귀 재벌은 참지 않는다	현대판타지,판타지	마태.	현대판타지	판타지
129	마왕이 빙의한 EX급 능력자가 세상을 지배함	현대판타지,판타지	나쵸칩	현대판타지	판타지
130	방구석 파괴신은 조용하게 살고 싶다	판타지,퓨전	크래커™	판타지	퓨전
131	최강의 용병이 회귀했다	판타지	칼텍스	판타지	
132	평범한 변방 시골 남작가의 평범한 환생자	판타지,퓨전	극동새우	판타지	퓨전
133	호위검천	무협,퓨전	김태현	무협	퓨전
