,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점,무협,현판,로판,판타지,로맨스
38,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,2024-06-14,2024-06-24,118,109,5,8.4,False,False,False,True,False
39,"교수님, 그 결혼 저랑 해요",로맨스,루위,2024-06-07,2024-06-07,81,259,14,9.9,False,False,False,False,True
40,역대급 라이프 스타일,현판,에쮸드,2024-06-21,2024-06-24,148,105,4,8.3,False,True,False,False,False
41,나 혼자 탑에서 농사,현판,sdcknight,2022-09-10,2024-06-22,736,29158,680,9.8,False,True,False,False,False
42,전생검신,무협,구로수번,2016-09-09,2024-06-23,1820,43855,1969,9.5,True,False,False,False,False
43,종의 연애,로맨스,플라비,2024-06-20,2024-06-20,85,169,8,9.4,False,False,False,False,True
44,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,2024-06-21,2024-06-25,109,63,1,8.5,False,True,False,False,False
45,EX급 창고를 얻었다,판타지,한손검,2024-06-19,2024-06-25,115,124,2,7.2,False,False,False,True,False
46,마왕의 아이로 살아남는 법,로판,이현성,2023-04-25,2023-04-25,266,761,9,9.8,False,False,True,False,False
47,고인물의 스킬이 너무 화려하다,판타지,광산김가,2024-06-19,2024-06-24,117,188,0,8.8,False,False,False,True,False
48,천재 무림 트레이너,무협,크루크루,2021-10-27,2023-03-17,425,7702,57,9.2,True,False,False,False,False
49,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,2024-06-19,2024-06-25,119,94,1,9.2,False,True,False,False,False
50,마도전생기,무협,codezero,2020-02-17,2024-06-24,934,40440,740,9.2,True,False,False,False,False
51,기프티드 (GIFTED),현판,도서관식객,2019-02-20,2020-10-19,386,4412,72,9.6,False,True,False,False,False
52,일타강사 백사부,무협,간짜장,2020-10-21,2024-06-24,738,72533,1205,9.8,True,False,False,False,False
53,김 대리는 아이돌이 싫어,현판,퇴사연습생,2023-11-07,2024-06-25,271,17017,233,9.9,False,True,False,False,False
54,살아남은 왕녀의 웃음 뒤에는,로판,아미드,2021-11-03,2023-09-01,160,4080,117,9.9,False,False,True,False,False
55,디펜스 게임의 폭군이 되었다,판타지,류은가람,2021-02-10,2024-06-22,854,37219,772,9.8,False,False,False,True,False
56,국세청 망나니,현판,동면거북이,2020-07-08,2022-01-06,500,16112,327,9.7,False,True,False,False,False
57,악당 가족이 립을 반대한다,로판,이흰,2022-07-03,2024-04-23,292,3404,321,9.9,False,False,True,False,False
58,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,2024-05-13,2024-06-24,137,1100,7,9.3,False,False,False,True,False
59,완벽한 청혼,로맨스,송민선,2024-06-17,2024-06-22,87,223,2,9.5,False,False,False,False,True
60,괴물 음악천재가 되어 돌아왔다,현판,츠로프,2024-06-21,2024-06-23,108,15,2,9.4,False,True,False,False,False
61,파혼 후 역대급 투자 천재,현판,단골손놈,2024-06-21,2024-06-25,107,9,1,7.6,False,True,False,False,False
62,블랙기업조선,판타지,국뽕,2020-03-20,2024-06-24,1206,34756,202,9.6,False,False,False,True,False
63,더러운 것 가운데에서,로판,진서,2023-03-27,2023-07-07,173,2059,29,9.6,False,False,True,False,False
64,재벌의 품격,현판,서인하,2022-11-16,2023-06-24,303,6179,87,9.5,False,True,False,False,False
65,절대 검감(絶對 劍感) 외전포함,무협,한중월야,2019-06-19,2020-05-12,356,23503,418,9.4,True,False,False,False,False
66,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,2022-10-21,2024-06-25,689,17175,99,9.6,True,False,False,False,False
67,레벨업 하는 로그,판타지,글쟁이라떼,2024-06-05,2024-06-24,113,930,8,9.6,False,False,False,True,False
68,광마회귀,무협,유진성,2020-02-26,2022-08-03,450,171301,3438,9.9,True,False,False,False,False
69,내가 죽은 후 남주들이 이상해졌다,로판,꿀끼,2024-06-22,2024-06-24,84,199,8,9.5,False,False,True,False,False
70,피폐물을 힐링물로 만드는 방법,로판,황도톨,2022-12-19,2024-06-02,202,2129,117,9.8,False,False,True,False,False
71,약먹는 천재마법사,판타지,글근육,2021-02-12,2024-06-24,1144,27574,185,9.9,False,False,False,True,False
72,"언니, 이번 생엔 내가 왕비야",로판,레팔진프,2020-12-06,2024-06-25,601,72451,2373,7.5,False,False,True,False,False
73,마교 교주의 부군이 되었다,무협,쥬레이,2023-09-19,2024-06-25,315,7439,109,9.4,True,False,False,False,False
74,당문전,무협,제이허빈,2023-07-12,2024-06-24,436,14722,92,9.4,True,False,False,False,False
75,천화서고 대공자,무협,김현영,2020-09-23,2024-05-15,527,18208,330,9.7,True,False,False,False,False
76,시한부 천재가 살아남는 법,무협,청시소,2021-02-10,2024-06-24,726,58798,429,9.6,True,False,False,False,False
77,탑아이돌의 막내 멤버가 되었다,현판,강서울,2023-02-28,2024-06-23,405,10050,280,9.9,False,True,False,False,False
78,천재의 신들린 게임방송,현판,믿고보는,2022-03-30,2024-06-25,728,20859,153,9.8,False,True,False,False,False
79,버림받고 즐기는 소박한 신의 삶,로판,박귀리,2022-04-27,2022-04-27,302,1690,27,9.9,False,False,True,False,False
80,게임 속 검술천재가 되었다,판타지,진서한,2024-04-16,2024-06-25,107,209,20,9.1,False,False,False,True,False
81,사랑하는 나의 억압자,로판,서사희,2023-04-17,2024-02-24,128,11159,928,9.9,False,False,True,False,False
82,1500억을 받았다,현판,먼지운,2024-06-14,2024-06-24,115,228,3,7.8,False,True,False,False,False
83,"울어 봐, 빌어도 좋고",로판,솔체,2019-08-28,2019-10-29,170,52803,5012,9.7,False,False,True,False,False
84,나의 다정한 무뢰한에게,로판,만다라,2023-04-13,2023-12-01,206,1917,43,9.7,False,False,True,False,False
85,할배무사와 지존 손녀,무협,일향(一向),2022-03-16,2024-06-04,556,9858,238,9.7,True,False,False,False,False
86,몹쓸 충동,로맨스,강여울,2024-06-21,2024-06-21,81,49,2,9.7,False,False,False,False,True
87,블랙배저,판타지,썬터다운,2023-08-30,2024-06-24,473,38272,537,9.9,False,False,False,True,False
88,근력 만렙 중세인,판타지,련습,2024-06-17,2024-06-25,114,130,1,9.1,False,False,False,True,False
89,은퇴한 초인의 슬로우라이프,판타지,ROHRAN노란,2023-11-22,2024-05-14,225,2146,18,9.7,False,False,False,True,False
90,A.I. 닥터,현판,한산이가,2020-04-29,2024-06-25,1535,54041,1193,9.8,False,True,False,False,False
91,운명을 보는 회사원,현판,영완(映完),2020-01-10,2023-06-26,317,16247,863,9.8,False,True,False,False,False
92,회귀 경찰의 리셋 라이프,현판,한길,2024-06-24,2024-06-24,1039,6,1,8.6,False,True,False,False,False
93,의사가 음악을 너무 잘함,현판,세끝,2024-06-10,2024-06-25,125,43,2,8.6,False,True,False,False,False
94,못 잡아먹어서 안달,로맨스,플아다,2022-10-20,2023-11-29,157,7791,644,9.9,False,False,False,False,True
95,낱장의 여름,로맨스,박영,2024-05-23,2024-05-23,95,1194,35,9.5,False,False,False,False,True
96,바스티안  에디티드 버전,로판,솔체,2023-01-13,2023-08-04,237,44926,1210,9.5,False,False,True,False,False
97,달아나지 않도록 더 세게,로판,도토리,2023-06-28,2023-08-01,166,1324,36,9.8,False,False,True,False,False
98,응급 맞선,로맨스,강영주,2024-05-23,2024-05-23,83,119,2,9.8,False,False,False,False,True
99,왕따 그만두고 천재합니다,현판,자론상이,2024-01-05,2024-05-20,221,1039,24,9.4,False,True,False,False,False
100,적국의 황태자에게 납치당한 성녀입니다,로판,그고자자,2024-06-21,2024-06-21,120,43,0,9.0,False,False,True,False,False
101,버린 쓰레기는 다시 줍지 않는다,로판,배고픈밤,2021-08-30,2021-08-30,267,1589,33,9.7,False,False,True,False,False
102,노 네임 러브,로맨스,스모어,2024-06-21,2024-06-21,83,8,5,9.9,False,False,False,False,True
103,북부 대공,로판,투머치텐션,2024-01-10,2024-01-10,162,1247,33,9.7,False,False,True,False,False
104,이상한 나라의 흰 토끼,로판,명윤,2017-11-10,2017-11-10,85,122,40,9.8,False,False,True,False,False
105,버려진 황자로 편하게 사는 법,판타지,오프신,2024-04-02,2024-06-25,122,763,16,9.5,False,False,False,True,False
106,미쉐린 백작 영애의 파란 공 리,로판,미녜,2024-06-14,2024-06-14,88,60,1,9.4,False,False,True,False,False
107,황제의 포로가 되었습니다,로판,귀찮은 홍시,2024-06-14,2024-06-14,95,62,12,9.6,False,False,True,False,False
108,응급 연애 동의서,로맨스,배사비,2024-06-14,2024-06-14,105,11,1,8.7,False,False,False,False,True
109,설익은 재회,로맨스,핼쯰,2024-06-14,2024-06-14,93,31,16,9.7,False,False,False,False,True
110,천마신교 최강 막내제자,무협,리진,2022-04-27,2022-12-15,300,980,25,8.5,True,False,False,False,False
111,카오스,로맨스,홍지우,2024-06-14,2024-06-14,75,8,2,9.6,False,False,False,False,True
112,뺏긴 자리에 미련 없습니다,로판,최아리,2023-06-13,2024-03-12,220,3164,57,8.7,False,False,True,False,False
113,마교전선 비룡십삼대,무협,겨울반디,2021-10-06,2022-09-20,359,3342,40,8.1,True,False,False,False,False
114,엄마 친구 아들 관찰기,로맨스,주해나,2024-06-11,2024-06-15,85,631,8,9.4,False,False,False,False,True
115,원수의 아기를 가졌다,로판,미니바라기,2023-02-19,2023-09-25,300,2755,73,9.0,False,False,True,False,False
116,사천당가의 검신급 소가주가 되었다,무협,화계火鷄,2022-10-15,2024-06-20,341,5340,66,7.5,True,False,False,False,False
117,능의 대가,로맨스,설우희,2024-04-11,2024-06-17,87,2040,38,9.6,False,False,False,False,True
118,나쁜 착각,로맨스,벚꽃그리고,2023-05-17,2023-06-01,110,2886,21,9.7,False,False,False,False,True
119,칼라디아의 늑대,판타지,시연우,2024-04-30,2024-06-25,114,490,14,9.0,False,False,False,True,False
120,짙게 각인된 밤,로맨스,임여리,2024-06-05,2024-06-05,73,1612,4,9.6,False,False,False,False,True
121,회귀한 재벌은 미국을 사기로했다,현판,연태량,2024-06-12,2024-06-24,119,183,2,9.3,False,True,False,False,False
122,환생한 음악천재가 재능을 못 숨김,현판,아몬드빵,2024-05-22,2024-06-25,119,408,9,9.0,False,True,False,False,False
123,별을 품은 소드마스터,판타지,Q10,2021-06-29,2022-04-18,285,17492,568,9.8,False,False,False,True,False
124,귀향한 먼치킨의 여방송,현판,배고픈신발,2024-06-07,2024-06-24,127,100,4,8.9,False,True,False,False,False
125,재벌을 넘어 귀족으로,현판,푸달,2024-05-24,2024-05-24,200,68,0,9.2,False,True,False,False,False
126,화학천재의 비밀 투자 공식,현판,율려(律呂),2024-05-05,2024-06-24,158,1405,33,9.5,False,True,False,False,False
127,가짜인데 왜 이러세요?,로판,사장님,2024-05-10,2024-05-10,101,146,6,9.5,False,False,True,False,False
128,비틀린 나무에도 꽃은 핀다,로맨스,성하,2024-02-21,2024-04-01,208,1320,16,9.7,False,False,False,False,True
129,어떤 바람은 사람을 미치게 한다,로판,온밤톨,2024-05-10,2024-05-10,150,52,8,9.5,False,False,True,False,False
130,내 장례식에서 부활했다,로판,햇콩,2024-05-10,2024-06-01,105,13,2,8.4,False,False,True,False,False
131,병약한 대공비의 남편은 기억 상실,로판,천혜랑,2024-05-17,2024-05-17,84,23,1,8.0,False,False,True,False,False
132,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,2024-04-04,2024-06-18,164,1800,27,9.5,False,False,False,True,False
133,먹방으로 성공하는 ‘전’ 공작부인,로판,S모씨,2024-05-03,2024-05-03,125,67,5,7.3,False,False,True,False,False
134,당신의 마지막은 나여야만 한다,로판,조일구,2024-05-03,2024-05-03,110,113,15,9.6,False,False,True,False,False
135,당신의 구원을 바라지 않는다,로판,우제,2024-05-03,2024-05-03,102,22,5,9.7,False,False,True,False,False
136,이번 생엔 내가 죽을게,로판,진혜이,2024-05-24,2024-05-24,151,52,3,9.4,False,False,True,False,False
137,실종된 성녀가 바로 나였다,로판,라르메,2024-05-17,2024-05-17,87,13,3,8.5,False,False,True,False,False
138,재해급 암살자가 해방됐다,판타지,이등별,2024-04-09,2024-06-25,130,971,19,9.2,False,False,False,True,False
139,당문출사,무협,기혁,2023-06-20,2024-06-07,374,2521,35,8.5,True,False,False,False,False
140,왜 이제 와서 이래,로판,랑퀸,2024-05-02,2024-06-25,115,3138,26,8.5,False,False,True,False,False
141,겨우 강해졌는데 회귀해버림,현판,수국칼,2024-05-09,2024-06-24,135,785,5,8.6,False,True,False,False,False
142,슬라임 합성으로 만능 농사꾼,현판,짜빈동귀신,2023-12-05,2024-06-24,231,2674,49,9.5,False,True,False,False,False
143,천마님 안마하신다,현판,레빗토끼,2022-04-14,2024-04-12,309,2627,34,9.7,False,True,False,False,False
144,서부로 간 검은머리 용병,판타지,노오력.,2021-11-25,2024-01-23,592,5913,43,9.6,False,False,False,True,False
145,문제적 왕자님,로판,솔체,2020-06-12,2020-10-01,180,34736,2445,9.8,False,False,True,False,False
146,이섭의 연애,로맨스,김언희,2021-04-16,2023-07-25,105,2353,540,9.9,False,False,False,False,True
147,어째서 부부 스캔들,로맨스,오묘희,2024-05-10,2024-05-10,72,114,2,9.7,False,False,False,False,True
148,비공식 연애,로맨스,차윤서,2024-05-01,2024-05-01,74,1230,6,9.3,False,False,False,False,True
149,범상한 변호사의 아공간,현판,서칸더브이,2024-04-11,2024-06-25,180,1508,31,9.7,False,True,False,False,False
150,괴물 천재선수들이 날 너무 좋아함,현판,혜인태,2024-02-20,2024-06-25,233,2505,19,9.7,False,True,False,False,False
151,버려진 딸은 조용히 살지 않습니다,로판,마곰치,2024-05-17,2024-05-17,142,109,18,9.4,False,False,True,False,False
152,불온한 집착,로맨스,임여리,2024-05-17,2024-05-17,75,1308,5,9.5,False,False,False,False,True
153,결혼의 소실,로맨스,채스카,2024-05-10,2024-05-10,60,18,0,9.0,False,False,False,False,True
154,전생혈마,현판,산천,2024-01-02,2024-06-25,199,1189,5,8.8,False,True,False,False,False
155,나노 마신(喇勞 魔神),무협,한중월야,2017-09-18,2018-05-17,342,34227,2425,9.3,True,False,False,False,False
156,끝이 정해진 사이,로맨스,은율아,2024-05-10,2024-05-10,93,164,9,9.8,False,False,False,False,True
157,손짓에 홀려,로맨스,초연희,2024-05-03,2024-05-03,70,207,16,9.4,False,False,False,False,True
158,천재 흑마법사,판타지,노란커피,2021-09-07,2024-04-01,786,36415,257,9.9,False,False,False,True,False
159,몰락 끝에 네가 있다,로판,유세라,2023-06-15,2023-10-22,188,5118,93,9.8,False,False,True,False,False
160,침묵의 여름 (Träumerei),로맨스,다하루,2024-05-17,2024-05-17,152,33,11,9.9,False,False,False,False,True
161,첩자의 마교생활,무협,대은호,2023-06-27,2024-06-24,371,4162,53,9.5,True,False,False,False,False
162,전무님은 하룻밤이 부족하다,로맨스,한여름이었다,2024-04-26,2024-04-26,94,247,6,9.7,False,False,False,False,True
163,현질로 S급 소드마스터,판타지,놋버,2024-05-03,2024-06-25,148,266,3,7.8,False,False,False,True,False
164,완전무결한 공작님께,로판,이현성,2024-01-25,2024-05-20,198,1642,38,9.8,False,False,True,False,False
165,죽은 신의 성기사,판타지,초매,2023-05-30,2024-06-25,470,12520,157,9.8,False,False,False,True,False
166,전리품 공작부인,로판,레몬개구리,2023-11-29,2024-04-01,184,4613,63,9.6,False,False,True,False,False
167,히어로가 돌아왔다,현판,쾌벌,2024-04-02,2024-06-24,137,880,32,9.1,False,True,False,False,False
168,이 결혼의 끝은 죽음이었다,로판,시샘달,2024-05-03,2024-05-03,120,49,1,6.9,False,False,True,False,False
169,탐닉의 조건,로맨스,문희,2024-05-17,2024-05-17,82,106,3,9.6,False,False,False,False,True
170,딸기밭,로맨스,김무이,2024-05-03,2024-05-03,83,141,14,9.7,False,False,False,False,True
171,숨구멍 에필로그,로맨스,오드리,2024-05-21,2024-06-15,82,1874,7,9.4,False,False,False,False,True
172,악녀의 시집살이는 즐겁다,로판,준예,2023-05-30,2023-11-14,191,3663,87,9.7,False,False,True,False,False
173,여름이었다,로맨스,양지희,2024-05-24,2024-05-24,90,43,6,9.8,False,False,False,False,True
174,검은 머리 영국 의사,판타지,한산이가,2022-10-26,2024-06-25,529,17225,250,9.9,False,False,False,True,False
175,현질무신,무협,시저디,2024-01-23,2024-06-25,214,1921,20,9.0,True,False,False,False,False
176,나랑 자게 될 거야,로맨스,차가울(미캉),2024-03-14,2024-04-15,88,1403,24,9.6,False,False,False,False,True
177,괴물 황녀는 진실을 원한다,로판,송이담,2024-05-24,2024-06-24,117,32,22,9.3,False,False,True,False,False
178,남자친구 김춘성,로맨스,휘린,2024-05-24,2024-05-24,86,15,5,9.5,False,False,False,False,True
179,마왕의 시녀,로판,팔마,2024-05-17,2024-06-24,147,34,11,9.5,False,False,True,False,False
180,유혹은 교만하게,로맨스,문유하,2024-05-03,2024-05-03,75,82,6,9.7,False,False,False,False,True
181,검술 명가의 대마법사 막내딸,로판,윤하월,2023-01-30,2023-10-02,214,1164,44,9.8,False,False,True,False,False
182,훔친 용이지만 반품될까요,로판,Onmi,2024-05-03,2024-05-03,100,15,5,8.6,False,False,True,False,False
183,"오직, 그대",로맨스,감나라,2024-05-24,2024-05-24,61,6,0,9.5,False,False,False,False,True
184,오버로드,판타지,마루야마 쿠가네,2017-05-22,2023-05-08,16,156,161,9.3,False,False,False,True,False
185,처절한 흥밋거리BL,로맨스,빛나는앵두,2024-06-03,2024-06-03,4,0,0,0.0,False,False,False,False,True
186,남편놀음,로맨스,야옹도사,2023-08-25,2023-09-30,100,184,8,9.6,False,False,False,False,True
187,천 원짜리 재벌 무료연재,현판,구름맛양갱,2024-06-25,2024-06-25,10,7,1,9.7,False,True,False,False,False
188,당신과 나는 사는 세계가 다르다,로판,서모린,2023-07-30,2023-12-20,133,1643,50,9.1,False,False,True,False,False
189,100조로 갑질하기,현판,S수미르,2023-07-13,2023-07-13,14,14,1,9.5,False,True,False,False,False
190,인도 최고 천재는 환생한 재벌 3세,현판,윈난성,2023-11-28,2024-06-07,225,315,22,8.9,False,True,False,False,False
191,변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,2024-05-27,2024-06-24,131,497,6,9.6,False,False,False,True,False
192,비룡잠호,무협,오채지,2018-02-08,2018-02-08,7,94,57,9.3,True,False,False,False,False
193,암흑가에서 눈을 뜬 소드마스터 무료연재,판타지,동경,2024-06-25,2024-06-25,10,5,7,9.0,False,False,False,True,False
194,천하제일 상주,무협,지인,2023-09-05,2024-06-25,339,952,18,9.3,True,False,False,False,False
195,무인도 힐링 라이프를 꿈꿨는데 대박집 사장님이 되었다!,현판,R렉스,2024-06-24,2024-06-24,104,0,0,9.8,False,True,False,False,False
196,케이팝 씹어먹는 천재 작곡가,현판,이신유,2024-04-03,2024-06-25,193,563,14,9.4,False,True,False,False,False
197,사이버펑크의 고인물 마법사,현판,휴헤,2024-06-21,2024-06-25,105,22,0,7.2,False,True,False,False,False
198,한 번만 사랑해 줘,로판,도주차량,2023-04-28,2023-11-09,231,1054,25,9.1,False,False,True,False,False
199,악역이 내게 미쳐버렸다,로판,김라체,2023-08-20,2023-12-17,149,1947,57,9.6,False,False,True,False,False
200,내 조선에 세종은 없다,판타지,핏콩,2023-01-10,2024-06-24,465,8307,41,9.6,False,False,False,True,False
201,최종보스 잡고 게임 속 죄수,판타지,by아말하,2024-02-06,2024-06-25,171,695,5,8.7,False,False,False,True,False
202,법 없이 사는 놈들,판타지,아낙필,2022-11-02,2023-04-21,238,4052,38,8.7,False,False,False,True,False
203,그라운드의 외계인,현판,양복선,2024-02-26,2024-06-24,157,346,3,8.5,False,True,False,False,False
204,창룡군림,무협,북미혼,2023-09-26,2024-06-25,289,2163,18,7.7,True,False,False,False,False
205,나의 조선에 유교는 필요없다,판타지,정동갑제,2024-06-14,2024-06-24,120,233,10,8.7,False,False,False,True,False
206,메이드의 방,로맨스,주황연,2024-01-24,2024-04-01,86,354,4,9.3,False,False,False,False,True
207,릴리스의 관 외전 추가,로판,해말,2019-01-30,2019-07-21,169,1791,116,9.6,False,False,True,False,False
208,신화급 귀속 아이템을 손에 넣었다,현판,정선율,2021-01-27,2022-12-07,470,15962,864,8.7,False,True,False,False,False
209,얼어붙은 플레이어의 귀환,판타지,제리엠,2022-06-10,2022-06-10,642,1299,18,9.0,False,False,False,True,False
210,묵향,무협,전동조,2013-12-02,2022-11-17,37,1783,735,6.5,True,False,False,False,False
211,음악천재를 위하여,현판,고광(高光),2020-04-21,2020-04-21,12,19,5,8.4,False,True,False,False,False
212,낙양문사,무협,도리검,2024-05-30,2024-05-30,7,1,0,5.5,True,False,False,False,False
213,턴제의 마법사,판타지,정따블,2024-05-17,2024-06-24,137,1072,9,9.5,False,False,False,True,False
214,순수한 동거생활,로맨스,플아다,2020-04-04,2020-10-17,112,5853,468,9.7,False,False,False,False,True
215,근있는 소드마스터,판타지,로튼애플,2024-06-11,2024-06-25,122,79,2,7.8,False,False,False,True,False
216,삼국지 : 내가 영웅의 그릇인가.,판타지,엠보돌,2024-04-10,2024-06-25,171,1006,21,9.2,False,False,False,True,False
217,더는 당신의 악녀로 살지 않겠습니다,로판,임홀리,2023-06-16,2023-11-01,181,372,34,9.6,False,False,True,False,False
218,미친 검사가 AI를 주웠다,현판,글아일체,2023-04-18,2024-03-15,310,1174,18,9.4,False,True,False,False,False
219,환생했더니 대공의 셋째 아들,판타지,BELF,2024-03-27,2024-06-24,161,1222,16,9.1,False,False,False,True,False
220,검은머리 미군 대원수,판타지,명원(命元),2020-10-14,2023-05-16,583,59097,403,9.9,False,False,False,True,False
221,부도덕한 악역 황후에 빙의했습니다,로판,달가듯이,2022-04-20,2022-08-03,205,345,21,9.5,False,False,True,False,False
222,투신귀환 무료연재,무협,북창,2024-05-21,2024-06-25,45,61,2,8.4,True,False,False,False,False
223,마른 가지에 바람처럼,로판,달새울,2017-09-29,2021-02-19,230,20512,4348,9.7,False,False,True,False,False
224,혼자 다 해 먹는 천재 암살자,판타지,MOZO,2022-10-12,2024-06-25,542,7227,89,9.7,False,False,False,True,False
225,"나를 혐오하세요, 공작님",로판,이초원,2024-04-03,2024-06-25,137,58,6,8.9,False,False,True,False,False
226,인형의 밤,로맨스,김나결,2023-08-04,2023-09-20,90,174,25,9.0,False,False,False,False,True
